file,speaker,emotion,gender
AESDD/fear/f05 (4).wav,4,fear,female
AESDD/fear/f10 (4).wav,4,fear,female
AESDD/fear/f09 (4).wav,4,fear,female
AESDD/fear/f13 (5).wav,5,fear,male
AESDD/fear/f12 (3).wav,3,fear,male
AESDD/fear/f12 (01).wav,1,fear,male
AESDD/fear/f02 (5).wav,5,fear,male
AESDD/fear/f08 (5).wav,5,fear,male
AESDD/fear/f05 (1).wav,1,fear,male
AESDD/fear/f20 (2).wav,2,fear,female
AESDD/fear/f18 (2).wav,2,fear,female
AESDD/fear/f05 (3).wav,3,fear,male
AESDD/fear/f04 (1).wav,1,fear,male
AESDD/fear/f13 (2).wav,2,fear,female
AESDD/fear/f16 (4).wav,4,fear,female
AESDD/fear/f17 (2).wav,2,fear,female
AESDD/fear/f04 (4).wav,4,fear,female
AESDD/fear/f18 (5)b.wav,5,fear,male
AESDD/fear/f18 (1).wav,1,fear,male
AESDD/fear/f19 (5).wav,5,fear,male
AESDD/fear/f14 (1).wav,1,fear,male
AESDD/fear/f13 (01).wav,1,fear,male
AESDD/fear/f01 (4).wav,4,fear,female
AESDD/fear/f11 (4).wav,4,fear,female
AESDD/fear/f07 (1).wav,1,fear,male
AESDD/fear/f09 (5).wav,5,fear,male
AESDD/fear/f11 (5).wav,5,fear,male
AESDD/fear/f13 (6).wav,6,fear,female
AESDD/fear/f09 (6).wav,6,fear,female
AESDD/fear/f06 (1).wav,1,fear,male
AESDD/fear/f06 (4).wav,4,fear,female
AESDD/fear/f14 (6).wav,6,fear,female
AESDD/fear/f18 (4).wav,4,fear,female
AESDD/fear/f17 (4).wav,4,fear,female
AESDD/fear/f15 (2).wav,2,fear,female
AESDD/fear/f01 (2).wav,2,fear,female
AESDD/fear/f01 (6).wav,6,fear,female
AESDD/fear/f20 (3).wav,3,fear,male
AESDD/fear/f04 (5).wav,5,fear,male
AESDD/fear/f03 (3).wav,3,fear,male
AESDD/fear/f17 (6).wav,6,fear,female
AESDD/fear/f18 (3).wav,3,fear,male
AESDD/fear/f18 (5).wav,5,fear,male
AESDD/fear/f20 (6).wav,6,fear,female
AESDD/fear/f20 (5).wav,5,fear,male
AESDD/fear/f11 (6).wav,6,fear,female
AESDD/fear/f03 (5).wav,5,fear,male
AESDD/fear/f10 (2).wav,2,fear,female
AESDD/fear/f16 (6).wav,6,fear,female
AESDD/fear/f12 (4).wav,4,fear,female
AESDD/fear/f03 (4).wav,4,fear,female
AESDD/fear/f17 (5).wav,5,fear,male
AESDD/fear/f08 (3).wav,3,fear,male
AESDD/fear/f11 (2).wav,2,fear,female
AESDD/fear/f16 (1).wav,1,fear,male
AESDD/fear/f06 (3).wav,3,fear,male
AESDD/fear/f10 (01).wav,1,fear,male
AESDD/fear/f14 (2).wav,2,fear,female
AESDD/fear/f02 (1).wav,1,fear,male
AESDD/fear/f03 (6).wav,6,fear,female
AESDD/fear/f07 (2).wav,2,fear,female
AESDD/fear/f02 (3).wav,3,fear,male
AESDD/fear/f02 (6).wav,6,fear,female
AESDD/fear/f20 (1).wav,1,fear,male
AESDD/fear/f11 (3).wav,3,fear,male
AESDD/fear/f19 (2).wav,2,fear,female
