file,emotion_level,speakers,gender,age,word,language
BAVED/2/55-m-16-2-0-778.wav,low,55,male,16,هذا,arabic
BAVED/2/56-f-40-2-2-657.wav,high,56,female,40,هذا,arabic
BAVED/2/50-f-5-2-0-542.wav,low,50,female,5,هذا,arabic
BAVED/2/50-f-5-2-0-532.wav,low,50,female,5,هذا,arabic
BAVED/2/55-m-16-2-1-800.wav,normal,55,male,16,هذا,arabic
BAVED/2/14-m-23-2-1-666.wav,normal,14,male,23,هذا,arabic
BAVED/2/103-f-22-2-2-32.wav,high,103,female,22,هذا,arabic
BAVED/2/101-m-20-2-2-35.wav,high,101,male,20,هذا,arabic
BAVED/2/50-f-5-2-0-523.wav,low,50,female,5,هذا,arabic
BAVED/2/50-f-5-2-1-575.wav,normal,50,female,5,هذا,arabic
BAVED/2/15-m-24-2-2-667.wav,high,15,male,24,هذا,arabic
BAVED/2/1-m-20-2-1-663.wav,normal,1,male,20,هذا,arabic
BAVED/2/47-m-20-2-0-724.wav,low,47,male,20,هذا,arabic
BAVED/2/50-f-5-2-0-529.wav,low,50,female,5,هذا,arabic
BAVED/2/2-m-25-2-1-674.wav,normal,2,male,25,هذا,arabic
BAVED/2/50-f-5-2-0-517.wav,low,50,female,5,هذا,arabic
BAVED/2/55-m-16-2-1-788.wav,normal,55,male,16,هذا,arabic
BAVED/2/56-f-40-2-2-649.wav,high,56,female,40,هذا,arabic
BAVED/2/100-f-6-2-2-26.wav,high,100,female,6,هذا,arabic
BAVED/2/4-m-20-2-2-705.wav,high,4,male,20,هذا,arabic
BAVED/2/50-f-5-2-1-557.wav,normal,50,female,5,هذا,arabic
BAVED/2/17-m-23-2-1-670.wav,normal,17,male,23,هذا,arabic
BAVED/2/12-f-19-2-2-510.wav,high,12,female,19,هذا,arabic
BAVED/2/101-m-20-2-0-33.wav,low,101,male,20,هذا,arabic
BAVED/2/50-f-5-2-0-541.wav,low,50,female,5,هذا,arabic
BAVED/2/50-f-5-2-1-550.wav,normal,50,female,5,هذا,arabic
BAVED/2/56-f-40-2-1-637.wav,normal,56,female,40,هذا,arabic
BAVED/2/47-m-20-2-0-720.wav,low,47,male,20,هذا,arabic
BAVED/2/56-f-40-2-0-628.wav,low,56,female,40,هذا,arabic
BAVED/2/54-f-19-2-1-607.wav,normal,54,female,19,هذا,arabic
BAVED/2/49-m-23-2-0-740.wav,low,49,male,23,هذا,arabic
BAVED/2/36-m-19-2-1-691.wav,normal,36,male,19,هذا,arabic
BAVED/2/50-f-5-2-2-599.wav,high,50,female,5,هذا,arabic
BAVED/2/55-m-16-2-2-814.wav,high,55,male,16,هذا,arabic
BAVED/2/50-f-5-2-0-534.wav,low,50,female,5,هذا,arabic
BAVED/2/47-m-20-2-1-725.wav,normal,47,male,20,هذا,arabic
BAVED/2/56-f-40-2-1-641.wav,normal,56,female,40,هذا,arabic
BAVED/2/51-m-20-2-1-765.wav,normal,51,male,20,هذا,arabic
BAVED/2/8-m-18-2-2-821.wav,high,8,male,18,هذا,arabic
BAVED/2/54-f-19-2-2-610.wav,high,54,female,19,هذا,arabic
BAVED/2/54-f-19-2-0-604.wav,low,54,female,19,هذا,arabic
BAVED/2/55-m-16-2-0-772.wav,low,55,male,16,هذا,arabic
BAVED/2/102-f-40-2-1-28.wav,normal,102,female,40,هذا,arabic
BAVED/2/11-m-23-2-0-664.wav,low,11,male,23,هذا,arabic
BAVED/2/50-f-5-2-1-576.wav,normal,50,female,5,هذا,arabic
BAVED/2/50-f-5-2-2-596.wav,high,50,female,5,هذا,arabic
BAVED/2/50-f-5-2-1-563.wav,normal,50,female,5,هذا,arabic
BAVED/2/50-f-5-2-0-539.wav,low,50,female,5,هذا,arabic
BAVED/2/50-f-5-2-0-537.wav,low,50,female,5,هذا,arabic
BAVED/2/55-m-16-2-1-786.wav,normal,55,male,16,هذا,arabic
BAVED/2/50-f-5-2-0-538.wav,low,50,female,5,هذا,arabic
BAVED/2/50-f-5-2-0-535.wav,low,50,female,5,هذا,arabic
BAVED/2/49-m-23-2-2-756.wav,high,49,male,23,هذا,arabic
BAVED/2/56-f-40-2-1-633.wav,normal,56,female,40,هذا,arabic
BAVED/2/55-m-16-2-0-785.wav,low,55,male,16,هذا,arabic
BAVED/2/22-m-23-2-1-677.wav,normal,22,male,23,هذا,arabic
BAVED/2/53-m-20-2-2-770.wav,high,53,male,20,هذا,arabic
