file,sentiment,emotion
./CMU-MOSEI/Raw/Audio/Segmented_Audio/train/-3g5yACwYnA_0.wav,positive,hap
./CMU-MOSEI/Raw/Audio/Segmented_Audio/train/-3g5yACwYnA_1.wav,positive,hap
./CMU-MOSEI/Raw/Audio/Segmented_Audio/train/-3g5yACwYnA_2.wav,positive,hap
./CMU-MOSEI/Raw/Audio/Segmented_Audio/train/-3g5yACwYnA_3.wav,positive,hap
./CMU-MOSEI/Raw/Audio/Segmented_Audio/train/-3g5yACwYnA_4.wav,positive,hap
./CMU-MOSEI/Raw/Audio/Segmented_Audio/train/-3g5yACwYnA_5.wav,positive,sad
./CMU-MOSEI/Raw/Audio/Segmented_Audio/train/-3nNcZdcdvU_0.wav,positive,hap
./CMU-MOSEI/Raw/Audio/Segmented_Audio/train/-3nNcZdcdvU_1.wav,positive,hap
./CMU-MOSEI/Raw/Audio/Segmented_Audio/train/-3nNcZdcdvU_2.wav,positive,hap
./CMU-MOSEI/Raw/Audio/Segmented_Audio/train/-HwX2H8Z4hY_0.wav,positive,hap
./CMU-MOSEI/Raw/Audio/Segmented_Audio/train/-HwX2H8Z4hY_1.wav,negative,sad
./CMU-MOSEI/Raw/Audio/Segmented_Audio/train/-HwX2H8Z4hY_2.wav,positive,hap
./CMU-MOSEI/Raw/Audio/Segmented_Audio/train/-HwX2H8Z4hY_3.wav,positive,sad
./CMU-MOSEI/Raw/Audio/Segmented_Audio/train/-HwX2H8Z4hY_4.wav,negative,sad
./CMU-MOSEI/Raw/Audio/Segmented_Audio/train/-HwX2H8Z4hY_5.wav,negative,hap
./CMU-MOSEI/Raw/Audio/Segmented_Audio/train/-HwX2H8Z4hY_6.wav,positive,hap
./CMU-MOSEI/Raw/Audio/Segmented_Audio/train/-HwX2H8Z4hY_7.wav,positive,hap
./CMU-MOSEI/Raw/Audio/Segmented_Audio/train/-HwX2H8Z4hY_8.wav,negative,ang
./CMU-MOSEI/Raw/Audio/Segmented_Audio/train/-HwX2H8Z4hY_9.wav,negative,fea
./CMU-MOSEI/Raw/Audio/Segmented_Audio/train/-THoVjtIkeU_0.wav,positive,hap
./CMU-MOSEI/Raw/Audio/Segmented_Audio/train/-THoVjtIkeU_1.wav,positive,hap
./CMU-MOSEI/Raw/Audio/Segmented_Audio/train/-THoVjtIkeU_2.wav,negative,hap
./CMU-MOSEI/Raw/Audio/Segmented_Audio/train/-THoVjtIkeU_3.wav,positive,hap
./CMU-MOSEI/Raw/Audio/Segmented_Audio/train/-THoVjtIkeU_4.wav,positive,hap
./CMU-MOSEI/Raw/Audio/Segmented_Audio/train/-THoVjtIkeU_5.wav,positive,hap
./CMU-MOSEI/Raw/Audio/Segmented_Audio/train/-THoVjtIkeU_6.wav,positive,hap
./CMU-MOSEI/Raw/Audio/Segmented_Audio/train/-THoVjtIkeU_7.wav,positive,hap
./CMU-MOSEI/Raw/Audio/Segmented_Audio/train/-UuX1xuaiiE_0.wav,positive,hap
./CMU-MOSEI/Raw/Audio/Segmented_Audio/train/-UuX1xuaiiE_1.wav,positive,hap
./CMU-MOSEI/Raw/Audio/Segmented_Audio/train/-UuX1xuaiiE_2.wav,positive,hap
./CMU-MOSEI/Raw/Audio/Segmented_Audio/train/-UuX1xuaiiE_3.wav,positive,hap
./CMU-MOSEI/Raw/Audio/Segmented_Audio/train/-UuX1xuaiiE_4.wav,positive,hap
./CMU-MOSEI/Raw/Audio/Segmented_Audio/train/-UuX1xuaiiE_5.wav,positive,sad
./CMU-MOSEI/Raw/Audio/Segmented_Audio/train/-UuX1xuaiiE_6.wav,negative,sad
./CMU-MOSEI/Raw/Audio/Segmented_Audio/train/-UuX1xuaiiE_7.wav,negative,sad
./CMU-MOSEI/Raw/Audio/Segmented_Audio/train/-UuX1xuaiiE_8.wav,positive,hap
./CMU-MOSEI/Raw/Audio/Segmented_Audio/train/-UuX1xuaiiE_9.wav,positive,hap
./CMU-MOSEI/Raw/Audio/Segmented_Audio/train/-WXXTNIJcVM_0.wav,positive,hap
./CMU-MOSEI/Raw/Audio/Segmented_Audio/train/-WXXTNIJcVM_1.wav,positive,hap
./CMU-MOSEI/Raw/Audio/Segmented_Audio/train/-WXXTNIJcVM_2.wav,positive,hap
./CMU-MOSEI/Raw/Audio/Segmented_Audio/train/-WXXTNIJcVM_3.wav,positive,hap
./CMU-MOSEI/Raw/Audio/Segmented_Audio/train/-WXXTNIJcVM_4.wav,positive,sur
./CMU-MOSEI/Raw/Audio/Segmented_Audio/train/-ZgjBOA1Yhw_0.wav,negative,sad
./CMU-MOSEI/Raw/Audio/Segmented_Audio/train/-ZgjBOA1Yhw_1.wav,negative,sad
./CMU-MOSEI/Raw/Audio/Segmented_Audio/train/-ZgjBOA1Yhw_2.wav,negative,fea
./CMU-MOSEI/Raw/Audio/Segmented_Audio/train/-ZgjBOA1Yhw_3.wav,positive,sad
./CMU-MOSEI/Raw/Audio/Segmented_Audio/train/-ZgjBOA1Yhw_4.wav,positive,hap
./CMU-MOSEI/Raw/Audio/Segmented_Audio/train/-ZgjBOA1Yhw_5.wav,positive,ang
./CMU-MOSEI/Raw/Audio/Segmented_Audio/train/-a55Q6RWvTA_0.wav,positive,hap
./CMU-MOSEI/Raw/Audio/Segmented_Audio/train/-aNfi7CP8vM_0.wav,positive,hap
./CMU-MOSEI/Raw/Audio/Segmented_Audio/train/-aNfi7CP8vM_1.wav,positive,hap
./CMU-MOSEI/Raw/Audio/Segmented_Audio/train/-aqamKhZ1Ec_0.wav,negative,sad
./CMU-MOSEI/Raw/Audio/Segmented_Audio/train/-aqamKhZ1Ec_1.wav,negative,sad
./CMU-MOSEI/Raw/Audio/Segmented_Audio/train/-aqamKhZ1Ec_2.wav,negative,hap
./CMU-MOSEI/Raw/Audio/Segmented_Audio/train/-dxfTGcXJoc_0.wav,positive,ang
./CMU-MOSEI/Raw/Audio/Segmented_Audio/train/-dxfTGcXJoc_1.wav,positive,hap
./CMU-MOSEI/Raw/Audio/Segmented_Audio/train/-dxfTGcXJoc_2.wav,positive,ang
./CMU-MOSEI/Raw/Audio/Segmented_Audio/train/-dxfTGcXJoc_3.wav,positive,ang
./CMU-MOSEI/Raw/Audio/Segmented_Audio/train/-dxfTGcXJoc_4.wav,positive,hap
./CMU-MOSEI/Raw/Audio/Segmented_Audio/train/-dxfTGcXJoc_5.wav,positive,hap
./CMU-MOSEI/Raw/Audio/Segmented_Audio/train/-dxfTGcXJoc_6.wav,positive,hap
./CMU-MOSEI/Raw/Audio/Segmented_Audio/train/-dxfTGcXJoc_7.wav,positive,ang
./CMU-MOSEI/Raw/Audio/Segmented_Audio/train/-egA8-b7-3M_0.wav,positive,sad
./CMU-MOSEI/Raw/Audio/Segmented_Audio/train/-egA8-b7-3M_1.wav,positive,hap
./CMU-MOSEI/Raw/Audio/Segmented_Audio/train/-egA8-b7-3M_2.wav,positive,hap
./CMU-MOSEI/Raw/Audio/Segmented_Audio/train/-egA8-b7-3M_3.wav,positive,sad
./CMU-MOSEI/Raw/Audio/Segmented_Audio/train/-egA8-b7-3M_4.wav,positive,hap
./CMU-MOSEI/Raw/Audio/Segmented_Audio/train/-egA8-b7-3M_5.wav,positive,sad
./CMU-MOSEI/Raw/Audio/Segmented_Audio/train/-egA8-b7-3M_6.wav,positive,sad
./CMU-MOSEI/Raw/Audio/Segmented_Audio/train/-egA8-b7-3M_7.wav,positive,sad
./CMU-MOSEI/Raw/Audio/Segmented_Audio/train/-egA8-b7-3M_8.wav,positive,hap
./CMU-MOSEI/Raw/Audio/Segmented_Audio/train/-egA8-b7-3M_9.wav,positive,sad
./CMU-MOSEI/Raw/Audio/Segmented_Audio/train/-egA8-b7-3M_10.wav,positive,sad
./CMU-MOSEI/Raw/Audio/Segmented_Audio/train/-egA8-b7-3M_11.wav,positive,hap
./CMU-MOSEI/Raw/Audio/Segmented_Audio/train/-egA8-b7-3M_12.wav,positive,hap
./CMU-MOSEI/Raw/Audio/Segmented_Audio/train/-egA8-b7-3M_13.wav,positive,hap
./CMU-MOSEI/Raw/Audio/Segmented_Audio/train/-egA8-b7-3M_14.wav,positive,sad
./CMU-MOSEI/Raw/Audio/Segmented_Audio/train/-egA8-b7-3M_15.wav,positive,sad
./CMU-MOSEI/Raw/Audio/Segmented_Audio/train/-egA8-b7-3M_16.wav,positive,hap
./CMU-MOSEI/Raw/Audio/Segmented_Audio/train/-iRBcNs9oI8_0.wav,positive,hap
./CMU-MOSEI/Raw/Audio/Segmented_Audio/train/-iRBcNs9oI8_1.wav,positive,hap
./CMU-MOSEI/Raw/Audio/Segmented_Audio/train/-iRBcNs9oI8_2.wav,positive,hap
./CMU-MOSEI/Raw/Audio/Segmented_Audio/train/-iRBcNs9oI8_3.wav,positive,hap
./CMU-MOSEI/Raw/Audio/Segmented_Audio/train/-iRBcNs9oI8_4.wav,positive,hap
./CMU-MOSEI/Raw/Audio/Segmented_Audio/train/-iRBcNs9oI8_5.wav,positive,hap
./CMU-MOSEI/Raw/Audio/Segmented_Audio/train/-iRBcNs9oI8_6.wav,positive,hap
./CMU-MOSEI/Raw/Audio/Segmented_Audio/train/-iRBcNs9oI8_7.wav,positive,hap
