file,emotion,gender,speaker,language,prototypicality
DEMoS/DEMOS/PR_m_23_tri00a.wav,sadness,male,23,italian,PR
DEMoS/DEMOS/NP_f_61_gio02c.wav,happiness,female,61,italian,NP
DEMoS/DEMOS/NP_f_55_pau00a.wav,fear,female,55,italian,NP
DEMoS/DEMOS/PR_m_19_rab18b.wav,anger,male,19,italian,PR
DEMoS/DEMOS/NP_m_05_dis07b.wav,disgust,male,05,italian,NP
DEMoS/DEMOS/NP_m_34_dis21b.wav,disgust,male,34,italian,NP
DEMoS/DEMOS/NP_m_05_pau02b.wav,fear,male,05,italian,NP
DEMoS/DEMOS/NP_f_44_rab12b.wav,anger,female,44,italian,NP
DEMoS/DEMOS/PR_m_08_tri02b.wav,sadness,male,08,italian,PR
DEMoS/DEMOS/NP_m_03_dis13b.wav,disgust,male,03,italian,NP
DEMoS/DEMOS/NP_f_45_sor04c.wav,surprise,female,45,italian,NP
DEMoS/DEMOS/NP_m_58_dis21b.wav,disgust,male,58,italian,NP
DEMoS/DEMOS/NP_m_51_gio02b.wav,happiness,male,51,italian,NP
DEMoS/DEMOS/NP_m_14_tri03b.wav,sadness,male,14,italian,NP
DEMoS/DEMOS/PR_m_11_gio19b.wav,happiness,male,11,italian,PR
DEMoS/DEMOS/NP_f_44_tri07b.wav,sadness,female,44,italian,NP
DEMoS/DEMOS/PR_m_11_sor07b.wav,surprise,male,11,italian,PR
DEMoS/DEMOS/NP_m_24_dis15b.wav,disgust,male,24,italian,NP
DEMoS/DEMOS/NP_f_47_dis05b.wav,disgust,female,47,italian,NP
DEMoS/DEMOS/NP_f_47_gio04c.wav,happiness,female,47,italian,NP
DEMoS/DEMOS/NP_m_11_dis01b.wav,disgust,male,11,italian,NP
DEMoS/DEMOS/PR_m_33_gio08c.wav,happiness,male,33,italian,PR
DEMoS/DEMOS/PR_m_68_gio20b.wav,happiness,male,68,italian,PR
DEMoS/DEMOS/NP_f_48_tri12b.wav,sadness,female,48,italian,NP
DEMoS/DEMOS/NP_m_19_col09b.wav,guilt,male,19,italian,NP
