file,emotion,speaker,gender,language
EmoV-DB_sorted/jenie/Neutral/neutral_57-84_0067.wav,neutral,jenie,female,english
EmoV-DB_sorted/jenie/Neutral/neutral_197-364_0257.wav,neutral,jenie,female,english
EmoV-DB_sorted/jenie/Neutral/neutral_197-364_0288.wav,neutral,jenie,female,english
EmoV-DB_sorted/jenie/Neutral/neutral_85-112_0107.wav,neutral,jenie,female,english
EmoV-DB_sorted/jenie/Neutral/neutral_141-168_0147.wav,neutral,jenie,female,english
EmoV-DB_sorted/jenie/Neutral/neutral_1-28_0001.wav,neutral,jenie,female,english
EmoV-DB_sorted/jenie/Neutral/neutral_197-364_0331.wav,neutral,jenie,female,english
EmoV-DB_sorted/jenie/Neutral/neutral_85-112_0100.wav,neutral,jenie,female,english
EmoV-DB_sorted/jenie/Neutral/neutral_365-392_0390.wav,neutral,jenie,female,english
EmoV-DB_sorted/jenie/Neutral/neutral_1-28_0006.wav,neutral,jenie,female,english
EmoV-DB_sorted/jenie/Neutral/neutral_421-448_0442.wav,neutral,jenie,female,english
EmoV-DB_sorted/jenie/Neutral/neutral_197-364_0357.wav,neutral,jenie,female,english
EmoV-DB_sorted/jenie/Neutral/neutral_197-364_0235.wav,neutral,jenie,female,english
EmoV-DB_sorted/jenie/Neutral/neutral_57-84_0083.wav,neutral,jenie,female,english
EmoV-DB_sorted/jenie/Neutral/neutral_197-364_0255.wav,neutral,jenie,female,english
EmoV-DB_sorted/jenie/Neutral/neutral_421-448_0441.wav,neutral,jenie,female,english
EmoV-DB_sorted/jenie/Neutral/neutral_141-168_0162.wav,neutral,jenie,female,english
EmoV-DB_sorted/jenie/Neutral/neutral_197-364_0259.wav,neutral,jenie,female,english
EmoV-DB_sorted/jenie/Neutral/neutral_421-448_0427.wav,neutral,jenie,female,english
EmoV-DB_sorted/jenie/Neutral/neutral_85-112_0094.wav,neutral,jenie,female,english
EmoV-DB_sorted/jenie/Neutral/neutral_197-364_0273.wav,neutral,jenie,female,english
EmoV-DB_sorted/jenie/Neutral/neutral_365-392_0378.wav,neutral,jenie,female,english
EmoV-DB_sorted/jenie/Neutral/neutral_197-364_0233.wav,neutral,jenie,female,english
EmoV-DB_sorted/jenie/Neutral/neutral_29-56_0054.wav,neutral,jenie,female,english
EmoV-DB_sorted/jenie/Neutral/neutral_113-140_0118.wav,neutral,jenie,female,english
EmoV-DB_sorted/jenie/Neutral/neutral_29-56_0034.wav,neutral,jenie,female,english
EmoV-DB_sorted/jenie/Neutral/neutral_169-196_0171.wav,neutral,jenie,female,english
EmoV-DB_sorted/jenie/Neutral/neutral_421-448_0423.wav,neutral,jenie,female,english
