file,speaker,label
/home/bagus/github/nkululeko/data/itw/release_in_the_wild/16110.wav,Queen Elizabeth II,fake
/home/bagus/github/nkululeko/data/itw/release_in_the_wild/30542.wav,Bernie Sanders,real
/home/bagus/github/nkululeko/data/itw/release_in_the_wild/8846.wav,Queen Elizabeth II,real
/home/bagus/github/nkululeko/data/itw/release_in_the_wild/624.wav,Mark Zuckerberg,real
/home/bagus/github/nkululeko/data/itw/release_in_the_wild/21284.wav,Alec Guinness,real
/home/bagus/github/nkululeko/data/itw/release_in_the_wild/21806.wav,Donald Trump,fake
/home/bagus/github/nkululeko/data/itw/release_in_the_wild/26761.wav,Barack Obama,real
/home/bagus/github/nkululeko/data/itw/release_in_the_wild/12088.wav,Alec Guinness,fake
/home/bagus/github/nkululeko/data/itw/release_in_the_wild/4981.wav,Bill Clinton,fake
/home/bagus/github/nkululeko/data/itw/release_in_the_wild/9619.wav,Gilbert Gottfried,fake
/home/bagus/github/nkululeko/data/itw/release_in_the_wild/15171.wav,Martin Luther King,fake
/home/bagus/github/nkululeko/data/itw/release_in_the_wild/3382.wav,Alec Guinness,real
/home/bagus/github/nkululeko/data/itw/release_in_the_wild/20520.wav,Lyndon Johnson,real
/home/bagus/github/nkululeko/data/itw/release_in_the_wild/12959.wav,Alec Guinness,fake
/home/bagus/github/nkululeko/data/itw/release_in_the_wild/20879.wav,Alec Guinness,fake
/home/bagus/github/nkululeko/data/itw/release_in_the_wild/9520.wav,Bernie Sanders,real
/home/bagus/github/nkululeko/data/itw/release_in_the_wild/8557.wav,Alec Guinness,real
/home/bagus/github/nkululeko/data/itw/release_in_the_wild/8902.wav,Louis Farrakhan,fake
/home/bagus/github/nkululeko/data/itw/release_in_the_wild/30094.wav,Martin Luther King,real
/home/bagus/github/nkululeko/data/itw/release_in_the_wild/10153.wav,Winston Churchill,real
/home/bagus/github/nkululeko/data/itw/release_in_the_wild/4699.wav,Bill Clinton,fake
/home/bagus/github/nkululeko/data/itw/release_in_the_wild/345.wav,Mark Zuckerberg,real
/home/bagus/github/nkululeko/data/itw/release_in_the_wild/9298.wav,Alec Guinness,real
/home/bagus/github/nkululeko/data/itw/release_in_the_wild/12491.wav,Arnold Schwarzenegger,fake
/home/bagus/github/nkululeko/data/itw/release_in_the_wild/15557.wav,Ronald Reagan,real
/home/bagus/github/nkululeko/data/itw/release_in_the_wild/2893.wav,Alec Guinness,fake
/home/bagus/github/nkululeko/data/itw/release_in_the_wild/3398.wav,Bill Clinton,real
/home/bagus/github/nkululeko/data/itw/release_in_the_wild/20438.wav,Martin Luther King,fake
/home/bagus/github/nkululeko/data/itw/release_in_the_wild/10927.wav,The Notorious B.I.G.,fake
/home/bagus/github/nkululeko/data/itw/release_in_the_wild/8505.wav,Alec Guinness,fake
/home/bagus/github/nkululeko/data/itw/release_in_the_wild/25375.wav,Bill Clinton,real
/home/bagus/github/nkululeko/data/itw/release_in_the_wild/11527.wav,Milton Friedman,real
/home/bagus/github/nkululeko/data/itw/release_in_the_wild/23847.wav,Louis Farrakhan,real
/home/bagus/github/nkululeko/data/itw/release_in_the_wild/15550.wav,Ayn Rand,real
/home/bagus/github/nkululeko/data/itw/release_in_the_wild/20549.wav,Alec Guinness,real
/home/bagus/github/nkululeko/data/itw/release_in_the_wild/16847.wav,Donald Trump,real
/home/bagus/github/nkululeko/data/itw/release_in_the_wild/27439.wav,Donald Trump,real
/home/bagus/github/nkululeko/data/itw/release_in_the_wild/10146.wav,Bernie Sanders,fake
/home/bagus/github/nkululeko/data/itw/release_in_the_wild/15584.wav,Donald Trump,real
/home/bagus/github/nkululeko/data/itw/release_in_the_wild/24549.wav,Bill Clinton,fake
/home/bagus/github/nkululeko/data/itw/release_in_the_wild/27671.wav,Barack Obama,real
/home/bagus/github/nkululeko/data/itw/release_in_the_wild/12836.wav,Bernie Sanders,fake
/home/bagus/github/nkululeko/data/itw/release_in_the_wild/21890.wav,Barack Obama,real
/home/bagus/github/nkululeko/data/itw/release_in_the_wild/2497.wav,Donald Trump,real
/home/bagus/github/nkululeko/data/itw/release_in_the_wild/26662.wav,Tucker Carlson,fake
/home/bagus/github/nkululeko/data/itw/release_in_the_wild/2275.wav,Ayn Rand,fake
/home/bagus/github/nkululeko/data/itw/release_in_the_wild/1786.wav,Bob Ross,fake
/home/bagus/github/nkululeko/data/itw/release_in_the_wild/15045.wav,Bernie Sanders,real
/home/bagus/github/nkululeko/data/itw/release_in_the_wild/28885.wav,Ayn Rand,fake
/home/bagus/github/nkululeko/data/itw/release_in_the_wild/27956.wav,Alec Guinness,real
/home/bagus/github/nkululeko/data/itw/release_in_the_wild/27057.wav,Christopher Hitchens,real
/home/bagus/github/nkululeko/data/itw/release_in_the_wild/22926.wav,JFK,real
/home/bagus/github/nkululeko/data/itw/release_in_the_wild/19200.wav,Bill Clinton,real
/home/bagus/github/nkululeko/data/itw/release_in_the_wild/28202.wav,Bernie Sanders,fake
/home/bagus/github/nkululeko/data/itw/release_in_the_wild/12293.wav,Alec Guinness,real
/home/bagus/github/nkululeko/data/itw/release_in_the_wild/29630.wav,2Pac,fake
/home/bagus/github/nkululeko/data/itw/release_in_the_wild/16026.wav,Martin Luther King,fake
/home/bagus/github/nkululeko/data/itw/release_in_the_wild/15301.wav,Donald Trump,real
/home/bagus/github/nkululeko/data/itw/release_in_the_wild/17817.wav,Richard Nixon,real
/home/bagus/github/nkululeko/data/itw/release_in_the_wild/6527.wav,Bill Burr,real
/home/bagus/github/nkululeko/data/itw/release_in_the_wild/9946.wav,Alec Guinness,fake
/home/bagus/github/nkululeko/data/itw/release_in_the_wild/24280.wav,Ayn Rand,real
/home/bagus/github/nkululeko/data/itw/release_in_the_wild/24684.wav,Winston Churchill,real
/home/bagus/github/nkululeko/data/itw/release_in_the_wild/9073.wav,Kamala Harris,real
/home/bagus/github/nkululeko/data/itw/release_in_the_wild/27809.wav,Winston Churchill,real
/home/bagus/github/nkululeko/data/itw/release_in_the_wild/31438.wav,Ayn Rand,fake
/home/bagus/github/nkululeko/data/itw/release_in_the_wild/928.wav,Bill Clinton,real
/home/bagus/github/nkululeko/data/itw/release_in_the_wild/11286.wav,Donald Trump,fake
/home/bagus/github/nkululeko/data/itw/release_in_the_wild/22095.wav,Ayn Rand,real
/home/bagus/github/nkululeko/data/itw/release_in_the_wild/27791.wav,Donald Trump,real
/home/bagus/github/nkululeko/data/itw/release_in_the_wild/26620.wav,Alec Guinness,real
/home/bagus/github/nkululeko/data/itw/release_in_the_wild/9774.wav,Barack Obama,real
/home/bagus/github/nkululeko/data/itw/release_in_the_wild/22442.wav,Martin Luther King,real
/home/bagus/github/nkululeko/data/itw/release_in_the_wild/14146.wav,Adam Driver,fake
/home/bagus/github/nkululeko/data/itw/release_in_the_wild/16893.wav,Bernie Sanders,real
/home/bagus/github/nkululeko/data/itw/release_in_the_wild/12524.wav,The Notorious B.I.G.,real
/home/bagus/github/nkululeko/data/itw/release_in_the_wild/5584.wav,Bill Clinton,fake
/home/bagus/github/nkululeko/data/itw/release_in_the_wild/29369.wav,FDR,fake
/home/bagus/github/nkululeko/data/itw/release_in_the_wild/11727.wav,Donald Trump,fake
/home/bagus/github/nkululeko/data/itw/release_in_the_wild/2564.wav,Ronald Reagan,fake
/home/bagus/github/nkululeko/data/itw/release_in_the_wild/30652.wav,Bernie Sanders,real
/home/bagus/github/nkululeko/data/itw/release_in_the_wild/25432.wav,Mark Zuckerberg,real
/home/bagus/github/nkululeko/data/itw/release_in_the_wild/21217.wav,Ayn Rand,real
/home/bagus/github/nkululeko/data/itw/release_in_the_wild/4457.wav,JFK,fake
