file,speaker,label
/home/bagus/github/nkululeko/data/itw/release_in_the_wild/0.wav,Alec Guinness,fake
/home/bagus/github/nkululeko/data/itw/release_in_the_wild/1.wav,Alec Guinness,fake
/home/bagus/github/nkululeko/data/itw/release_in_the_wild/3.wav,Alec Guinness,fake
/home/bagus/github/nkululeko/data/itw/release_in_the_wild/5.wav,Ayn Rand,real
/home/bagus/github/nkululeko/data/itw/release_in_the_wild/7.wav,Donald Trump,real
/home/bagus/github/nkululeko/data/itw/release_in_the_wild/8.wav,Donald Trump,real
/home/bagus/github/nkululeko/data/itw/release_in_the_wild/9.wav,Alec Guinness,real
/home/bagus/github/nkululeko/data/itw/release_in_the_wild/10.wav,Bernie Sanders,fake
/home/bagus/github/nkululeko/data/itw/release_in_the_wild/12.wav,Calvin Coolidge,real
/home/bagus/github/nkululeko/data/itw/release_in_the_wild/13.wav,Alec Guinness,fake
/home/bagus/github/nkululeko/data/itw/release_in_the_wild/15.wav,Bernie Sanders,fake
/home/bagus/github/nkululeko/data/itw/release_in_the_wild/18.wav,Donald Trump,real
/home/bagus/github/nkululeko/data/itw/release_in_the_wild/19.wav,Bob Ross,fake
/home/bagus/github/nkululeko/data/itw/release_in_the_wild/20.wav,Donald Trump,real
/home/bagus/github/nkululeko/data/itw/release_in_the_wild/21.wav,Richard Nixon,fake
/home/bagus/github/nkululeko/data/itw/release_in_the_wild/23.wav,Donald Trump,real
/home/bagus/github/nkululeko/data/itw/release_in_the_wild/24.wav,Ronald Reagan,fake
/home/bagus/github/nkululeko/data/itw/release_in_the_wild/25.wav,Ayn Rand,fake
/home/bagus/github/nkululeko/data/itw/release_in_the_wild/26.wav,JFK,real
/home/bagus/github/nkululeko/data/itw/release_in_the_wild/27.wav,Arnold Schwarzenegger,real
/home/bagus/github/nkululeko/data/itw/release_in_the_wild/29.wav,Bill Clinton,real
/home/bagus/github/nkululeko/data/itw/release_in_the_wild/30.wav,Martin Luther King,real
/home/bagus/github/nkululeko/data/itw/release_in_the_wild/31.wav,Bill Burr,fake
/home/bagus/github/nkululeko/data/itw/release_in_the_wild/32.wav,Ronald Reagan,fake
/home/bagus/github/nkululeko/data/itw/release_in_the_wild/33.wav,Bill Clinton,real
/home/bagus/github/nkululeko/data/itw/release_in_the_wild/34.wav,Alec Guinness,fake
/home/bagus/github/nkululeko/data/itw/release_in_the_wild/35.wav,Ayn Rand,fake
/home/bagus/github/nkululeko/data/itw/release_in_the_wild/37.wav,Ronald Reagan,real
/home/bagus/github/nkululeko/data/itw/release_in_the_wild/41.wav,Donald Trump,fake
/home/bagus/github/nkululeko/data/itw/release_in_the_wild/42.wav,Bernie Sanders,fake
/home/bagus/github/nkululeko/data/itw/release_in_the_wild/43.wav,Ayn Rand,fake
/home/bagus/github/nkululeko/data/itw/release_in_the_wild/44.wav,Bernie Sanders,real
/home/bagus/github/nkululeko/data/itw/release_in_the_wild/46.wav,Alec Guinness,real
/home/bagus/github/nkululeko/data/itw/release_in_the_wild/47.wav,Alec Guinness,fake
/home/bagus/github/nkululeko/data/itw/release_in_the_wild/48.wav,Richard Nixon,real
/home/bagus/github/nkululeko/data/itw/release_in_the_wild/50.wav,George W. Bush,fake
/home/bagus/github/nkululeko/data/itw/release_in_the_wild/52.wav,Bernie Sanders,real
/home/bagus/github/nkululeko/data/itw/release_in_the_wild/54.wav,Martin Luther King,real
/home/bagus/github/nkululeko/data/itw/release_in_the_wild/55.wav,Bill Clinton,real
/home/bagus/github/nkululeko/data/itw/release_in_the_wild/56.wav,JFK,real
/home/bagus/github/nkululeko/data/itw/release_in_the_wild/60.wav,The Notorious B.I.G.,fake
/home/bagus/github/nkululeko/data/itw/release_in_the_wild/61.wav,Alec Guinness,fake
/home/bagus/github/nkululeko/data/itw/release_in_the_wild/62.wav,Ronald Reagan,fake
/home/bagus/github/nkululeko/data/itw/release_in_the_wild/63.wav,Ayn Rand,fake
/home/bagus/github/nkululeko/data/itw/release_in_the_wild/64.wav,Ayn Rand,real
/home/bagus/github/nkululeko/data/itw/release_in_the_wild/67.wav,Bernie Sanders,real
/home/bagus/github/nkululeko/data/itw/release_in_the_wild/68.wav,Bernie Sanders,fake
/home/bagus/github/nkululeko/data/itw/release_in_the_wild/69.wav,Bernie Sanders,fake
/home/bagus/github/nkululeko/data/itw/release_in_the_wild/71.wav,Jimmy Carter,real
/home/bagus/github/nkululeko/data/itw/release_in_the_wild/73.wav,Bill Clinton,real
/home/bagus/github/nkululeko/data/itw/release_in_the_wild/76.wav,Bill Clinton,fake
/home/bagus/github/nkululeko/data/itw/release_in_the_wild/77.wav,Alec Guinness,real
/home/bagus/github/nkululeko/data/itw/release_in_the_wild/78.wav,Dwight Eisenhower,real
/home/bagus/github/nkululeko/data/itw/release_in_the_wild/80.wav,Donald Trump,real
/home/bagus/github/nkululeko/data/itw/release_in_the_wild/81.wav,Bernie Sanders,fake
/home/bagus/github/nkululeko/data/itw/release_in_the_wild/82.wav,Alec Guinness,real
/home/bagus/github/nkululeko/data/itw/release_in_the_wild/83.wav,Bill Clinton,real
/home/bagus/github/nkululeko/data/itw/release_in_the_wild/84.wav,Bernie Sanders,real
/home/bagus/github/nkululeko/data/itw/release_in_the_wild/85.wav,Bernie Sanders,real
/home/bagus/github/nkululeko/data/itw/release_in_the_wild/86.wav,Alec Guinness,real
/home/bagus/github/nkululeko/data/itw/release_in_the_wild/87.wav,Alec Guinness,real
/home/bagus/github/nkululeko/data/itw/release_in_the_wild/88.wav,Ronald Reagan,real
/home/bagus/github/nkululeko/data/itw/release_in_the_wild/90.wav,Donald Trump,real
/home/bagus/github/nkululeko/data/itw/release_in_the_wild/91.wav,Bill Clinton,fake
/home/bagus/github/nkululeko/data/itw/release_in_the_wild/92.wav,Mitch Hedberg,fake
/home/bagus/github/nkululeko/data/itw/release_in_the_wild/93.wav,Ayn Rand,real
/home/bagus/github/nkululeko/data/itw/release_in_the_wild/95.wav,Bill Clinton,real
/home/bagus/github/nkululeko/data/itw/release_in_the_wild/96.wav,Alec Guinness,real
/home/bagus/github/nkululeko/data/itw/release_in_the_wild/98.wav,Bernie Sanders,real
/home/bagus/github/nkululeko/data/itw/release_in_the_wild/99.wav,Bill Burr,real
/home/bagus/github/nkululeko/data/itw/release_in_the_wild/103.wav,Bernie Sanders,fake
/home/bagus/github/nkululeko/data/itw/release_in_the_wild/104.wav,Bernie Sanders,real
/home/bagus/github/nkululeko/data/itw/release_in_the_wild/106.wav,FDR,real
/home/bagus/github/nkululeko/data/itw/release_in_the_wild/107.wav,Alec Guinness,fake
/home/bagus/github/nkululeko/data/itw/release_in_the_wild/108.wav,Donald Trump,real
/home/bagus/github/nkululeko/data/itw/release_in_the_wild/109.wav,Arnold Schwarzenegger,real
/home/bagus/github/nkululeko/data/itw/release_in_the_wild/113.wav,Donald Trump,real
/home/bagus/github/nkululeko/data/itw/release_in_the_wild/114.wav,Ayn Rand,fake
/home/bagus/github/nkululeko/data/itw/release_in_the_wild/115.wav,Bill Clinton,real
/home/bagus/github/nkululeko/data/itw/release_in_the_wild/116.wav,FDR,fake
/home/bagus/github/nkululeko/data/itw/release_in_the_wild/118.wav,Bernie Sanders,fake
/home/bagus/github/nkululeko/data/itw/release_in_the_wild/121.wav,Ayn Rand,real
/home/bagus/github/nkululeko/data/itw/release_in_the_wild/122.wav,FDR,fake
/home/bagus/github/nkululeko/data/itw/release_in_the_wild/123.wav,Donald Trump,real
/home/bagus/github/nkululeko/data/itw/release_in_the_wild/125.wav,Donald Trump,real
/home/bagus/github/nkululeko/data/itw/release_in_the_wild/126.wav,Mitch Hedberg,fake
/home/bagus/github/nkululeko/data/itw/release_in_the_wild/127.wav,George W. Bush,fake
/home/bagus/github/nkululeko/data/itw/release_in_the_wild/130.wav,Bernie Sanders,real
/home/bagus/github/nkululeko/data/itw/release_in_the_wild/131.wav,Bill Clinton,real
/home/bagus/github/nkululeko/data/itw/release_in_the_wild/132.wav,JFK,fake
/home/bagus/github/nkululeko/data/itw/release_in_the_wild/134.wav,Donald Trump,real
/home/bagus/github/nkululeko/data/itw/release_in_the_wild/135.wav,Bernie Sanders,fake
/home/bagus/github/nkululeko/data/itw/release_in_the_wild/136.wav,Alec Guinness,fake
/home/bagus/github/nkululeko/data/itw/release_in_the_wild/137.wav,Bill Clinton,real
/home/bagus/github/nkululeko/data/itw/release_in_the_wild/138.wav,Donald Trump,fake
/home/bagus/github/nkululeko/data/itw/release_in_the_wild/139.wav,Bernie Sanders,fake
/home/bagus/github/nkululeko/data/itw/release_in_the_wild/140.wav,Alec Guinness,real
/home/bagus/github/nkululeko/data/itw/release_in_the_wild/143.wav,Ayn Rand,real
/home/bagus/github/nkululeko/data/itw/release_in_the_wild/144.wav,Queen Elizabeth II,fake
/home/bagus/github/nkululeko/data/itw/release_in_the_wild/146.wav,The Notorious B.I.G.,fake
/home/bagus/github/nkululeko/data/itw/release_in_the_wild/147.wav,Alec Guinness,real
/home/bagus/github/nkululeko/data/itw/release_in_the_wild/148.wav,Jerry Seinfeld,fake
/home/bagus/github/nkululeko/data/itw/release_in_the_wild/149.wav,Martin Luther King,real
/home/bagus/github/nkululeko/data/itw/release_in_the_wild/150.wav,Queen Elizabeth II,fake
/home/bagus/github/nkululeko/data/itw/release_in_the_wild/151.wav,Martin Luther King,real
/home/bagus/github/nkululeko/data/itw/release_in_the_wild/155.wav,Alec Guinness,fake
/home/bagus/github/nkululeko/data/itw/release_in_the_wild/156.wav,Martin Luther King,real
/home/bagus/github/nkululeko/data/itw/release_in_the_wild/157.wav,Bill Clinton,real
/home/bagus/github/nkululeko/data/itw/release_in_the_wild/158.wav,Donald Trump,real
/home/bagus/github/nkululeko/data/itw/release_in_the_wild/159.wav,Bernie Sanders,fake
/home/bagus/github/nkululeko/data/itw/release_in_the_wild/160.wav,Martin Luther King,real
/home/bagus/github/nkululeko/data/itw/release_in_the_wild/161.wav,Donald Trump,real
/home/bagus/github/nkululeko/data/itw/release_in_the_wild/162.wav,Donald Trump,real
/home/bagus/github/nkululeko/data/itw/release_in_the_wild/163.wav,Alec Guinness,fake
/home/bagus/github/nkululeko/data/itw/release_in_the_wild/165.wav,George W. Bush,fake
/home/bagus/github/nkululeko/data/itw/release_in_the_wild/166.wav,Alec Guinness,real
/home/bagus/github/nkululeko/data/itw/release_in_the_wild/167.wav,Ayn Rand,real
/home/bagus/github/nkululeko/data/itw/release_in_the_wild/168.wav,Alec Guinness,real
/home/bagus/github/nkululeko/data/itw/release_in_the_wild/169.wav,Ayn Rand,real
/home/bagus/github/nkululeko/data/itw/release_in_the_wild/170.wav,Tucker Carlson,fake
/home/bagus/github/nkululeko/data/itw/release_in_the_wild/171.wav,Donald Trump,real
/home/bagus/github/nkululeko/data/itw/release_in_the_wild/172.wav,Ayn Rand,fake
/home/bagus/github/nkululeko/data/itw/release_in_the_wild/174.wav,Alec Guinness,fake
/home/bagus/github/nkululeko/data/itw/release_in_the_wild/175.wav,Nelson Mandela,fake
/home/bagus/github/nkululeko/data/itw/release_in_the_wild/177.wav,JFK,real
/home/bagus/github/nkululeko/data/itw/release_in_the_wild/178.wav,Ronald Reagan,real
/home/bagus/github/nkululeko/data/itw/release_in_the_wild/179.wav,Ayn Rand,fake
/home/bagus/github/nkululeko/data/itw/release_in_the_wild/180.wav,Donald Trump,real
/home/bagus/github/nkululeko/data/itw/release_in_the_wild/182.wav,Ayn Rand,fake
/home/bagus/github/nkululeko/data/itw/release_in_the_wild/183.wav,Bernie Sanders,real
/home/bagus/github/nkululeko/data/itw/release_in_the_wild/186.wav,Alec Guinness,fake
/home/bagus/github/nkululeko/data/itw/release_in_the_wild/187.wav,Bernie Sanders,real
/home/bagus/github/nkululeko/data/itw/release_in_the_wild/189.wav,Bernie Sanders,real
