file,Sr No.,Utterance,speaker,emotion,sentiment,Dialogue_ID,Utterance_ID,Season,Episode,StartTime,EndTime,split,gender
dia0_utt0.wav,1,also I was the point person on my company’s transition from the KL-5 to GR-6 system.,Chandler,neutral,neutral,0,0,8,21,"00:16:16,059","00:16:21,731",train,male
dia0_utt1.wav,2,You must’ve had your hands full.,The Interviewer,neutral,neutral,0,1,8,21,"00:16:21,940","00:16:23,442",train,
dia0_utt2.wav,3,That I did. That I did.,Chandler,neutral,neutral,0,2,8,21,"00:16:23,442","00:16:26,389",train,male
dia0_utt3.wav,4,So let’s talk a little bit about your duties.,The Interviewer,neutral,neutral,0,3,8,21,"00:16:26,820","00:16:29,572",train,
dia0_utt4.wav,5,My duties?  All right.,Chandler,surprise,positive,0,4,8,21,"00:16:34,452","00:16:40,917",train,male
dia0_utt5.wav,6,"Now you’ll be heading a whole division, so you’ll have a lot of duties.",The Interviewer,neutral,neutral,0,5,8,21,"00:16:41,126","00:16:44,337",train,
dia0_utt6.wav,7,I see.,Chandler,neutral,neutral,0,6,8,21,"00:16:48,800","00:16:51,886",train,male
dia0_utt7.wav,8,But there’ll be perhaps 30 people under you so you can dump a certain amount on them.,The Interviewer,neutral,neutral,0,7,8,21,"00:16:48,800","00:16:54,514",train,
dia0_utt8.wav,9,Good to know.,Chandler,neutral,neutral,0,8,8,21,"00:16:59,477","00:17:00,478",train,male
dia0_utt9.wav,10,We can go into detail,The Interviewer,neutral,neutral,0,9,8,21,"00:17:00,478","00:17:02,719",train,
dia0_utt10.wav,11,No don’t I beg of you!,Chandler,fear,negative,0,10,8,21,"00:17:02,856","00:17:04,858",train,male
dia0_utt11.wav,12,"All right then, we’ll have a definite answer for you on Monday, but I think I can say with some confidence, you’ll fit in well here.",The Interviewer,neutral,neutral,0,11,8,21,"00:17:05,025","00:17:13,324",train,
dia0_utt12.wav,13,Really?!,Chandler,surprise,positive,0,12,8,21,"00:17:13,491","00:17:16,536",train,male
dia0_utt13.wav,14,Absolutely.  You can relax,The Interviewer,neutral,neutral,0,13,8,21,"00:17:17,579","00:17:20,707",train,
dia1_utt0.wav,15,But then who? The waitress I went out with last month?,Joey,surprise,negative,1,0,9,23,"00:36:40,364","00:36:42,824",train,male
dia1_utt1.wav,16,You know? Forget it!,Rachel,sadness,negative,1,1,9,23,"00:36:44,368","00:36:46,578",train,female
dia1_utt2.wav,17,"No-no-no-no, no! Who, who were you talking about?",Joey,surprise,negative,1,2,9,23,"00:36:44,368","00:36:49,122",train,male
dia1_utt3.wav,18,"No, I-I-I-I don't, I actually don't know",Rachel,fear,negative,1,3,9,23,"00:36:49,290","00:36:51,791",train,female
dia1_utt4.wav,19,Ok!,Joey,neutral,neutral,1,4,9,23,"00:36:52,376","00:36:53,543",train,male
dia1_utt5.wav,20,"All right, well...",Joey,neutral,neutral,1,5,9,23,"00:36:53,545","00:36:55,000",train,male
dia1_utt8.wav,23,"Yeah, sure!",Rachel,neutral,neutral,1,8,9,23,"0:36:59,425","0:37:01,439",train,female
dia2_utt0.wav,24,"Hey, Mon.",Chandler,neutral,neutral,2,0,3,6,"00:05:50,350","00:05:51,433",train,male
dia2_utt1.wav,25,Hey-hey-hey. You wanna hear something that sucks.,Monica,neutral,neutral,2,1,3,6,"0:05:52,435","0:05:53,897",train,female
dia2_utt2.wav,26,Do I ever.,Chandler,joy,positive,2,2,3,6,"0:05:53,897","0:05:55,743",train,male
dia2_utt3.wav,27,Chris says they’re closing down the bar.,Monica,sadness,negative,2,3,3,6,"0:05:57,023","0:05:58,734",train,female
dia2_utt4.wav,28,No way!,Chandler,surprise,negative,2,4,3,6,"0:05:58,734","0:05:59,774",train,male
dia2_utt5.wav,29,"Yeah, apparently they’re turning it into some kinda coffee place.",Monica,neutral,neutral,2,5,3,6,"00:05:59,942","00:06:02,152",train,female
dia2_utt6.wav,30,Just coffee! Where are we gonna hang out now?,Chandler,disgust,negative,2,6,3,6,"00:06:02,362","00:06:07,157",train,male
dia2_utt7.wav,31,Got me.,Monica,sadness,negative,2,7,3,6,"00:06:04,489","00:06:07,157",train,female
dia2_utt8.wav,32,Can I get a beer.,Chandler,neutral,neutral,2,8,3,6,"0:06:07,367","0:06:08,035",train,male
dia2_utt9.wav,33,"Hey, did you pick a roommate?",Monica,neutral,neutral,2,9,3,6,"0:06:08,035","0:06:10,019",train,female
dia2_utt10.wav,34,You betcha!,Chandler,joy,positive,2,10,3,6,"0:06:10,161","0:06:10,973",train,male
dia2_utt11.wav,35,Is it the Italian guy?,Monica,neutral,neutral,2,11,3,6,"0:06:10,973","0:06:12,167",train,female
dia2_utt12.wav,36,"Um-mm, yeah right!",Chandler,joy,positive,2,12,3,6,"00:06:12,288","00:06:13,497",train,male
