file,emotion,gender,language,word
MESD/Mexican Emotional Speech Database (MESD)/Disgust_C_B_mutilado.wav,disgust,child,spanish,mutilado
MESD/Mexican Emotional Speech Database (MESD)/Sadness_M_A_si.wav,sadness,male,spanish,si
MESD/Mexican Emotional Speech Database (MESD)/Disgust_C_B_cucaracha.wav,disgust,child,spanish,cucaracha
MESD/Mexican Emotional Speech Database (MESD)/Neutral_C_B_temporal.wav,neutral,child,spanish,temporal
MESD/Mexican Emotional Speech Database (MESD)/Neutral_M_A_de_nada.wav,neutral,male,spanish,de nada
MESD/Mexican Emotional Speech Database (MESD)/Neutral_C_A_no.wav,neutral,child,spanish,no
MESD/Mexican Emotional Speech Database (MESD)/Neutral_F_B_mecanico.wav,neutral,female,spanish,mecanico
MESD/Mexican Emotional Speech Database (MESD)/Neutral_M_A_no.wav,neutral,male,spanish,no
MESD/Mexican Emotional Speech Database (MESD)/Happiness_F_A_hoy.wav,happiness,female,spanish,hoy
MESD/Mexican Emotional Speech Database (MESD)/Fear_M_B_abandono.wav,fear,male,spanish,abandono
MESD/Mexican Emotional Speech Database (MESD)/Anger_M_B_malevolo.wav,anger,male,spanish,malevolo
MESD/Mexican Emotional Speech Database (MESD)/Disgust_F_B_monstruo.wav,disgust,female,spanish,monstruo
MESD/Mexican Emotional Speech Database (MESD)/Sadness_C_A_hola.wav,sadness,child,spanish,hola
MESD/Mexican Emotional Speech Database (MESD)/Disgust_F_B_insultado.wav,disgust,female,spanish,insultado
MESD/Mexican Emotional Speech Database (MESD)/Anger_C_A_adios.wav,anger,child,spanish,adios
MESD/Mexican Emotional Speech Database (MESD)/Fear_M_A_por_favor.wav,fear,male,spanish,por favor
MESD/Mexican Emotional Speech Database (MESD)/Fear_M_B_conflicto.wav,fear,male,spanish,conflicto
MESD/Mexican Emotional Speech Database (MESD)/Happiness_M_B_relajacion.wav,happiness,male,spanish,relajacion
MESD/Mexican Emotional Speech Database (MESD)/Neutral_C_A_adios.wav,neutral,child,spanish,adios
MESD/Mexican Emotional Speech Database (MESD)/Anger_M_B_aguijon.wav,anger,male,spanish,aguijon
MESD/Mexican Emotional Speech Database (MESD)/Sadness_M_B_amenazado.wav,sadness,male,spanish,amenazado
MESD/Mexican Emotional Speech Database (MESD)/Happiness_M_B_baile.wav,happiness,male,spanish,baile
MESD/Mexican Emotional Speech Database (MESD)/Disgust_F_B_abandono.wav,disgust,female,spanish,abandono
MESD/Mexican Emotional Speech Database (MESD)/Disgust_F_B_punalada.wav,disgust,female,spanish,punalada
MESD/Mexican Emotional Speech Database (MESD)/Neutral_F_A_rapido.wav,neutral,female,spanish,rapido
MESD/Mexican Emotional Speech Database (MESD)/Neutral_F_B_religioso.wav,neutral,female,spanish,religioso
MESD/Mexican Emotional Speech Database (MESD)/Anger_C_B_estricto.wav,anger,child,spanish,estricto
MESD/Mexican Emotional Speech Database (MESD)/Anger_M_A_hoy.wav,anger,male,spanish,hoy
MESD/Mexican Emotional Speech Database (MESD)/Neutral_M_B_escalera.wav,neutral,male,spanish,escalera
MESD/Mexican Emotional Speech Database (MESD)/Fear_M_A_derecha.wav,fear,male,spanish,derecha
MESD/Mexican Emotional Speech Database (MESD)/Disgust_F_A_arriba.wav,disgust,female,spanish,arriba
MESD/Mexican Emotional Speech Database (MESD)/Neutral_M_B_estrecho.wav,neutral,male,spanish,estrecho
MESD/Mexican Emotional Speech Database (MESD)/Disgust_M_B_monstruoso.wav,disgust,male,spanish,monstruoso
MESD/Mexican Emotional Speech Database (MESD)/Fear_M_A_ayer.wav,fear,male,spanish,ayer
MESD/Mexican Emotional Speech Database (MESD)/Disgust_C_B_robo.wav,disgust,child,spanish,robo
MESD/Mexican Emotional Speech Database (MESD)/Fear_C_A_detras.wav,fear,child,spanish,detras
MESD/Mexican Emotional Speech Database (MESD)/Sadness_C_A_no.wav,sadness,child,spanish,no
MESD/Mexican Emotional Speech Database (MESD)/Neutral_C_A_izquierda.wav,neutral,child,spanish,izquierda
MESD/Mexican Emotional Speech Database (MESD)/Happiness_F_B_ternura.wav,happiness,female,spanish,ternura
MESD/Mexican Emotional Speech Database (MESD)/Anger_M_A_ayer.wav,anger,male,spanish,ayer
MESD/Mexican Emotional Speech Database (MESD)/Sadness_C_B_explosivo.wav,sadness,child,spanish,explosivo
MESD/Mexican Emotional Speech Database (MESD)/Happiness_F_A_detras.wav,happiness,female,spanish,detras
MESD/Mexican Emotional Speech Database (MESD)/Disgust_C_A_hoy.wav,disgust,child,spanish,hoy
MESD/Mexican Emotional Speech Database (MESD)/Neutral_F_A_pronto.wav,neutral,female,spanish,pronto
MESD/Mexican Emotional Speech Database (MESD)/Disgust_M_B_operacion.wav,disgust,male,spanish,operacion
MESD/Mexican Emotional Speech Database (MESD)/Neutral_F_A_hoy.wav,neutral,female,spanish,hoy
MESD/Mexican Emotional Speech Database (MESD)/Happiness_F_A_pronto.wav,happiness,female,spanish,pronto
MESD/Mexican Emotional Speech Database (MESD)/Neutral_M_B_fecha.wav,neutral,male,spanish,fecha
MESD/Mexican Emotional Speech Database (MESD)/Fear_C_A_izquierda.wav,fear,child,spanish,izquierda
MESD/Mexican Emotional Speech Database (MESD)/Fear_C_B_disputa.wav,fear,child,spanish,disputa
MESD/Mexican Emotional Speech Database (MESD)/Happiness_M_A_arriba.wav,happiness,male,spanish,arriba
MESD/Mexican Emotional Speech Database (MESD)/Neutral_C_B_rueda.wav,neutral,child,spanish,rueda
MESD/Mexican Emotional Speech Database (MESD)/Neutral_F_A_lento.wav,neutral,female,spanish,lento
MESD/Mexican Emotional Speech Database (MESD)/Fear_M_A_nunca.wav,fear,male,spanish,nunca
MESD/Mexican Emotional Speech Database (MESD)/Neutral_M_B_boton.wav,neutral,male,spanish,boton
MESD/Mexican Emotional Speech Database (MESD)/Sadness_M_B_metralleta.wav,sadness,male,spanish,metralleta
MESD/Mexican Emotional Speech Database (MESD)/Anger_M_A_antes.wav,anger,male,spanish,antes
MESD/Mexican Emotional Speech Database (MESD)/Happiness_M_A_derecha.wav,happiness,male,spanish,derecha
MESD/Mexican Emotional Speech Database (MESD)/Fear_M_B_imprudente.wav,fear,male,spanish,imprudente
MESD/Mexican Emotional Speech Database (MESD)/Neutral_M_A_lento.wav,neutral,male,spanish,lento
MESD/Mexican Emotional Speech Database (MESD)/Sadness_F_A_ayer.wav,sadness,female,spanish,ayer
MESD/Mexican Emotional Speech Database (MESD)/Neutral_M_B_arroz.wav,neutral,male,spanish,arroz
MESD/Mexican Emotional Speech Database (MESD)/Sadness_M_A_arriba.wav,sadness,male,spanish,arriba
MESD/Mexican Emotional Speech Database (MESD)/Anger_F_A_derecha.wav,anger,female,spanish,derecha
MESD/Mexican Emotional Speech Database (MESD)/Anger_M_A_lento.wav,anger,male,spanish,lento
MESD/Mexican Emotional Speech Database (MESD)/Neutral_M_A_ayer.wav,neutral,male,spanish,ayer
MESD/Mexican Emotional Speech Database (MESD)/Fear_M_B_danza.wav,fear,male,spanish,danza
MESD/Mexican Emotional Speech Database (MESD)/Neutral_F_B_elevado.wav,neutral,female,spanish,elevado
MESD/Mexican Emotional Speech Database (MESD)/Happiness_C_A_gracias.wav,happiness,child,spanish,gracias
MESD/Mexican Emotional Speech Database (MESD)/Neutral_F_A_abajo.wav,neutral,female,spanish,abajo
MESD/Mexican Emotional Speech Database (MESD)/Fear_M_B_aguijon.wav,fear,male,spanish,aguijon
MESD/Mexican Emotional Speech Database (MESD)/Disgust_F_A_fuera.wav,disgust,female,spanish,fuera
MESD/Mexican Emotional Speech Database (MESD)/Happiness_C_A_arriba.wav,happiness,child,spanish,arriba
MESD/Mexican Emotional Speech Database (MESD)/Sadness_C_B_delincuencia.wav,sadness,child,spanish,delincuencia
MESD/Mexican Emotional Speech Database (MESD)/Happiness_C_A_dentro.wav,happiness,child,spanish,dentro
MESD/Mexican Emotional Speech Database (MESD)/Happiness_M_B_esplendido.wav,happiness,male,spanish,esplendido
MESD/Mexican Emotional Speech Database (MESD)/Fear_F_B_amenazador.wav,fear,female,spanish,amenazador
MESD/Mexican Emotional Speech Database (MESD)/Happiness_M_A_rapido.wav,happiness,male,spanish,rapido
MESD/Mexican Emotional Speech Database (MESD)/Neutral_M_B_estacion.wav,neutral,male,spanish,estacion
MESD/Mexican Emotional Speech Database (MESD)/Happiness_F_A_nunca.wav,happiness,female,spanish,nunca
MESD/Mexican Emotional Speech Database (MESD)/Anger_M_A_detras.wav,anger,male,spanish,detras
MESD/Mexican Emotional Speech Database (MESD)/Anger_C_A_antes.wav,anger,child,spanish,antes
MESD/Mexican Emotional Speech Database (MESD)/Fear_C_A_si.wav,fear,child,spanish,si
MESD/Mexican Emotional Speech Database (MESD)/Anger_F_B_odioso.wav,anger,female,spanish,odioso
MESD/Mexican Emotional Speech Database (MESD)/Fear_F_A_nunca.wav,fear,female,spanish,nunca
MESD/Mexican Emotional Speech Database (MESD)/Anger_M_B_estafa.wav,anger,male,spanish,estafa
MESD/Mexican Emotional Speech Database (MESD)/Disgust_M_B_sangre.wav,disgust,male,spanish,sangre
MESD/Mexican Emotional Speech Database (MESD)/Sadness_F_B_desmayo.wav,sadness,female,spanish,desmayo
MESD/Mexican Emotional Speech Database (MESD)/Disgust_M_A_delante.wav,disgust,male,spanish,delante
MESD/Mexican Emotional Speech Database (MESD)/Sadness_C_A_arriba.wav,sadness,child,spanish,arriba
MESD/Mexican Emotional Speech Database (MESD)/Neutral_F_A_basta_ya.wav,neutral,female,spanish,basta ya
MESD/Mexican Emotional Speech Database (MESD)/Neutral_M_A_arriba.wav,neutral,male,spanish,arriba
MESD/Mexican Emotional Speech Database (MESD)/Neutral_F_B_mentiroso.wav,neutral,female,spanish,mentiroso
MESD/Mexican Emotional Speech Database (MESD)/Neutral_M_B_atomo.wav,neutral,male,spanish,atomo
MESD/Mexican Emotional Speech Database (MESD)/Fear_C_A_dentro.wav,fear,child,spanish,dentro
MESD/Mexican Emotional Speech Database (MESD)/Neutral_M_B_alto.wav,neutral,male,spanish,alto
MESD/Mexican Emotional Speech Database (MESD)/Fear_C_B_arana.wav,fear,child,spanish,arana
MESD/Mexican Emotional Speech Database (MESD)/Disgust_F_B_horroroso.wav,disgust,female,spanish,horroroso
MESD/Mexican Emotional Speech Database (MESD)/Neutral_C_A_de_nada.wav,neutral,child,spanish,de nada
MESD/Mexican Emotional Speech Database (MESD)/Sadness_F_A_dentro.wav,sadness,female,spanish,dentro
MESD/Mexican Emotional Speech Database (MESD)/Disgust_F_A_hola.wav,disgust,female,spanish,hola
MESD/Mexican Emotional Speech Database (MESD)/Anger_M_A_pronto.wav,anger,male,spanish,pronto
MESD/Mexican Emotional Speech Database (MESD)/Fear_M_A_abajo.wav,fear,male,spanish,abajo
MESD/Mexican Emotional Speech Database (MESD)/Sadness_M_A_adios.wav,sadness,male,spanish,adios
MESD/Mexican Emotional Speech Database (MESD)/Disgust_C_B_irrespetuoso.wav,disgust,child,spanish,irrespetuoso
