file,numeral,emotion,speaker,language1,language2,nationality,coordinates
00000.wav,3,excited,59,Hindi,English,Indian,"(19.07,72.87)"
00001.wav,1000000,question,31,English,French,British,"(52.21, 0.12)"
00003.wav,15,excited,107,Bravanese,English,British,"(51.57, -0.07)"
00004.wav,13,excited,114,Sindhi,English,Irish,"(24.86,67.00)"
00005.wav,19,neutral,132,English,,British,"(51.38, 2.36)"
00007.wav,1000000,excited,63,,,,
00008.wav,2,excited,38,Arabic,English,British,"(51.56, -0.11)"
00009.wav,80,excited,56,English,Twi,British,"(51.04, 0.17)"
00011.wav,8,excited,54,English,Hindi,Indian,"(13.08, 80.27)"
00013.wav,1000000000,bored,146,English,Pashto,British,"(51.41,-0.30)"
00015.wav,3,question,89,Tulu,Kannada,Indian,"(12.97 , 77.59)"
00016.wav,8,excited,100,Gujarati,Hindi,Indian,"(51.53, 0.00)"
00018.wav,19,question,14,Malayalam,English,Indian,"(9.98,76.28)"
00020.wav,20,question,5,English,German,British,"(51.50, -0.12)"
00022.wav,40,bored,68,Tamil,English,Indian,"(51.34, 1.64)"
00023.wav,60,bored,148,Arabic,English,Egyptian,"(51.55, 0.30)"
00025.wav,19,bored,143,Urdu,English,British,"(51.54,0.04)"
00026.wav,30,bored,96,Bengali,English,Bangladeshi,"(51.52, -0.04)"
00027.wav,12,excited,51,Vietnamese,Polish,Polish,"(52.21,20.97)"
00031.wav,60,bored,37,Hindi,English,Indian,"(51.52,-0.04)"
00032.wav,17,question,67,English,,British,"(50.72, -3.54)"
00033.wav,7,question,143,Urdu,English,British,"(51.54,0.04)"
00035.wav,1000000000,bored,30,English,Malayalam,Indian,"(25.19, 55.29)"
00036.wav,1000000000,neutral,12,Italian,English,Italian,"(43.61, 13.53)"
00037.wav,10,question,47,Greek,English,Greek,"(40.63, 22.93)"
00038.wav,70,excited,63,,,,
00039.wav,2,question,112,Hindi,English,Indian,"(30.74,76.76)"
00042.wav,0,question,97,Marathi,English,Indian,"(18.64, 73.78)"
00044.wav,17,neutral,134,Urdu,English,Pakistani,"(33.68, 73.04)"
00048.wav,8,excited,67,English,,British,"(50.72, -3.54)"
00049.wav,18,bored,60,Amharic,English,British,"(51.53, -0.06)"
00050.wav,18,excited,95,Chinese,English,Chinese,"(39.4, 115.7)"
00051.wav,16,neutral,33,English,,British,"(51.50, -0.10)"
