file,emotion,valence,arousal,dominance
./MSP-PODCAST-Publish-1.8/Audios/MSP-PODCAST_0001_0066.wav,neu,4.5,3.833333,4.0
./MSP-PODCAST-Publish-1.8/Audios/MSP-PODCAST_0001_0087.wav,neu,3.333333,4.0,4.166667
./MSP-PODCAST-Publish-1.8/Audios/MSP-PODCAST_0003_0052.wav,neu,4.0,3.0,4.0
./MSP-PODCAST-Publish-1.8/Audios/MSP-PODCAST_0003_0084.wav,neu,4.0,2.2,3.6
./MSP-PODCAST-Publish-1.8/Audios/MSP-PODCAST_0003_0086.wav,neu,4.0,2.4,3.6
./MSP-PODCAST-Publish-1.8/Audios/MSP-PODCAST_0003_0106.wav,sad,3.0,3.0,3.0
./MSP-PODCAST-Publish-1.8/Audios/MSP-PODCAST_0003_0113.wav,neu,3.8,4.4,4.2
./MSP-PODCAST-Publish-1.8/Audios/MSP-PODCAST_0003_0115.wav,neu,3.0,3.0,3.8
./MSP-PODCAST-Publish-1.8/Audios/MSP-PODCAST_0003_0129.wav,neu,4.333333,3.5,4.0
./MSP-PODCAST-Publish-1.8/Audios/MSP-PODCAST_0003_0223.wav,hap,5.578947,4.894737,5.105263
./MSP-PODCAST-Publish-1.8/Audios/MSP-PODCAST_0003_0285.wav,ang,3.6,5.4,5.4
./MSP-PODCAST-Publish-1.8/Audios/MSP-PODCAST_0003_0303.wav,neu,4.0,4.8,4.8
./MSP-PODCAST-Publish-1.8/Audios/MSP-PODCAST_0003_0307.wav,neu,4.0,4.6,3.8
./MSP-PODCAST-Publish-1.8/Audios/MSP-PODCAST_0003_0348.wav,sad,2.6,3.0,3.6
./MSP-PODCAST-Publish-1.8/Audios/MSP-PODCAST_0003_0373.wav,neu,5.0,3.6,5.0
./MSP-PODCAST-Publish-1.8/Audios/MSP-PODCAST_0003_0374.wav,neu,3.6,3.6,3.2
./MSP-PODCAST-Publish-1.8/Audios/MSP-PODCAST_0003_0404.wav,neu,2.8,4.8,4.8
./MSP-PODCAST-Publish-1.8/Audios/MSP-PODCAST_0003_0434.wav,neu,3.166667,3.0,4.0
./MSP-PODCAST-Publish-1.8/Audios/MSP-PODCAST_0003_0435.wav,ang,1.947368,4.473684,5.263158
./MSP-PODCAST-Publish-1.8/Audios/MSP-PODCAST_0003_0448.wav,ang,2.2,4.6,5.8
./MSP-PODCAST-Publish-1.8/Audios/MSP-PODCAST_0003_0540.wav,hap,5.6,4.0,4.4
./MSP-PODCAST-Publish-1.8/Audios/MSP-PODCAST_0003_0541.wav,neu,4.0,2.8,4.2
./MSP-PODCAST-Publish-1.8/Audios/MSP-PODCAST_0003_0544.wav,sad,3.8,4.2,4.6
./MSP-PODCAST-Publish-1.8/Audios/MSP-PODCAST_0003_0547.wav,neu,4.0,3.857143,4.571429
./MSP-PODCAST-Publish-1.8/Audios/MSP-PODCAST_0003_0554.wav,neu,3.0,3.8,4.2
./MSP-PODCAST-Publish-1.8/Audios/MSP-PODCAST_0003_0575.wav,neu,4.4,4.6,4.4
