file,emotion,speaker,gender,language
OREAU2/f/sessj/11a04Ja.wav,happiness,11,female,french
OREAU2/f/sessj/10a02Ja.wav,happiness,10,female,french
OREAU2/f/sessj/21a11Ja.wav,happiness,21,female,french
OREAU2/f/sessj/42a03Ja.wav,happiness,42,female,french
OREAU2/f/sessj/13a05Ja.wav,happiness,13,female,french
OREAU2/f/sessj/24a09Ja.wav,happiness,24,female,french
OREAU2/f/sessj/11a01Ja.wav,happiness,11,female,french
OREAU2/f/sessj/13a06Ja.wav,happiness,13,female,french
OREAU2/f/sessj/24a10Ja.wav,happiness,24,female,french
OREAU2/f/sessj/10a01Ja.wav,happiness,10,female,french
OREAU2/f/sessj/42a06Ja.wav,happiness,42,female,french
OREAU2/f/sessj/37a04Ja.wav,happiness,37,female,french
OREAU2/f/sessj/11a06Ja.wav,happiness,11,female,french
OREAU2/f/sessj/11a02Ja.wav,happiness,11,female,french
OREAU2/f/sessj/11a05Ja.wav,happiness,11,female,french
OREAU2/f/sessj/11a03Ja.wav,happiness,11,female,french
OREAU2/f/sessj/37a05Ja.wav,happiness,37,female,french
OREAU2/f/sessj/21a12Ja.wav,happiness,21,female,french
OREAU2/f/sesss/10a01Sa.wav,surprise,10,female,french
OREAU2/f/sesss/37a06Sa.wav,surprise,37,female,french
OREAU2/f/sesss/13a06Sa.wav,surprise,13,female,french
OREAU2/f/sesss/11a06Sa.wav,surprise,11,female,french
OREAU2/f/sesss/13a05Sa.wav,surprise,13,female,french
OREAU2/f/sesss/11a01Sa.wav,surprise,11,female,french
OREAU2/f/sesss/11a05Sa.wav,surprise,11,female,french
OREAU2/f/sesss/24a06Sa.wav,surprise,24,female,french
OREAU2/f/sesss/10a02Sa.wav,surprise,10,female,french
OREAU2/f/sesss/24a01Sa.wav,surprise,24,female,french
OREAU2/f/sesss/21a11Sa.wav,surprise,21,female,french
OREAU2/f/sesss/42a07Sa.wav,surprise,42,female,french
OREAU2/f/sesss/37a01Sa.wav,surprise,37,female,french
OREAU2/f/sesss/42a08Sa.wav,surprise,42,female,french
OREAU2/f/sesss/21a01Sa.wav,surprise,21,female,french
OREAU2/f/sesss/11a04Sa.wav,surprise,11,female,french
OREAU2/f/sesss/11a03Sa.wav,surprise,11,female,french
OREAU2/f/sesss/11a02Sa.wav,surprise,11,female,french
OREAU2/f/sessd/11a06Da.wav,disgust,11,female,french
OREAU2/f/sessd/24a07Da.wav,disgust,24,female,french
OREAU2/f/sessd/11a03Da.wav,disgust,11,female,french
OREAU2/f/sessd/42a03Da.wav,disgust,42,female,french
OREAU2/f/sessd/13a06Da.wav,disgust,13,female,french
OREAU2/f/sessd/37a08Da.wav,disgust,37,female,french
OREAU2/f/sessd/42a02Da.wav,disgust,42,female,french
OREAU2/f/sessd/24a06Da.wav,disgust,24,female,french
OREAU2/f/sessd/37a07Da.wav,disgust,37,female,french
OREAU2/f/sessd/11a01Da.wav,disgust,11,female,french
OREAU2/f/sessd/10a01Da.wav,disgust,10,female,french
OREAU2/f/sessd/10a02Da.wav,disgust,10,female,french
OREAU2/f/sessd/11a02Da.wav,disgust,11,female,french
OREAU2/f/sessd/21a01Da.wav,disgust,21,female,french
OREAU2/f/sessd/13a05Da.wav,disgust,13,female,french
OREAU2/f/sessd/11a05Da.wav,disgust,11,female,french
OREAU2/f/sessd/11a04Da.wav,disgust,11,female,french
OREAU2/f/sessd/21a02Da.wav,disgust,21,female,french
OREAU2/f/sessc/24a01Ca.wav,anger,24,female,french
OREAU2/f/sessc/13a05Ca.wav,anger,13,female,french
OREAU2/f/sessc/10a02Ca.wav,anger,10,female,french
OREAU2/f/sessc/42a04Ca.wav,anger,42,female,french
OREAU2/f/sessc/11a02Ca.wav,anger,11,female,french
OREAU2/f/sessc/24a02Ca.wav,anger,24,female,french
OREAU2/f/sessc/11a06Ca.wav,anger,11,female,french
OREAU2/f/sessc/37a10Ca.wav,anger,37,female,french
OREAU2/f/sessc/37a11Ca.wav,anger,37,female,french
OREAU2/f/sessc/11a03Ca.wav,anger,11,female,french
OREAU2/f/sessc/11a05Ca.wav,anger,11,female,french
OREAU2/f/sessc/21a01Ca.wav,anger,21,female,french
OREAU2/f/sessc/11a04Ca.wav,anger,11,female,french
OREAU2/f/sessc/42a03Ca.wav,anger,42,female,french
OREAU2/f/sessc/21a11Ca.wav,anger,21,female,french
OREAU2/f/sessc/10a01Ca.wav,anger,10,female,french
OREAU2/f/sessc/11a01Ca.wav,anger,11,female,french
OREAU2/f/sesst/37a01Ta.wav,sadness,37,female,french
OREAU2/f/sesst/42a10Ta.wav,sadness,42,female,french
OREAU2/f/sesst/37a02Ta.wav,sadness,37,female,french
OREAU2/f/sesst/11a06Ta.wav,sadness,11,female,french
OREAU2/f/sesst/11a03Ta.wav,sadness,11,female,french
OREAU2/f/sesst/10a02Ta.wav,sadness,10,female,french
