file,emotion,speaker,gender,language
OREAU2/f/sessj/21a11Ja.wav,happiness,21,female,french
OREAU2/f/sessj/42a03Ja.wav,happiness,42,female,french
OREAU2/f/sessj/13a05Ja.wav,happiness,13,female,french
OREAU2/f/sessj/24a09Ja.wav,happiness,24,female,french
OREAU2/f/sessj/13a06Ja.wav,happiness,13,female,french
OREAU2/f/sessj/24a10Ja.wav,happiness,24,female,french
OREAU2/f/sessj/42a06Ja.wav,happiness,42,female,french
OREAU2/f/sessj/37a04Ja.wav,happiness,37,female,french
OREAU2/f/sessj/37a05Ja.wav,happiness,37,female,french
OREAU2/f/sessj/21a12Ja.wav,happiness,21,female,french
OREAU2/f/sesss/37a06Sa.wav,surprise,37,female,french
OREAU2/f/sesss/13a06Sa.wav,surprise,13,female,french
OREAU2/f/sesss/13a05Sa.wav,surprise,13,female,french
OREAU2/f/sesss/24a06Sa.wav,surprise,24,female,french
OREAU2/f/sesss/24a01Sa.wav,surprise,24,female,french
OREAU2/f/sesss/21a11Sa.wav,surprise,21,female,french
OREAU2/f/sesss/42a07Sa.wav,surprise,42,female,french
OREAU2/f/sesss/37a01Sa.wav,surprise,37,female,french
OREAU2/f/sesss/42a08Sa.wav,surprise,42,female,french
OREAU2/f/sesss/21a01Sa.wav,surprise,21,female,french
OREAU2/f/sessd/24a07Da.wav,disgust,24,female,french
OREAU2/f/sessd/42a03Da.wav,disgust,42,female,french
OREAU2/f/sessd/13a06Da.wav,disgust,13,female,french
OREAU2/f/sessd/37a08Da.wav,disgust,37,female,french
OREAU2/f/sessd/42a02Da.wav,disgust,42,female,french
OREAU2/f/sessd/24a06Da.wav,disgust,24,female,french
OREAU2/f/sessd/37a07Da.wav,disgust,37,female,french
OREAU2/f/sessd/21a01Da.wav,disgust,21,female,french
OREAU2/f/sessd/13a05Da.wav,disgust,13,female,french
OREAU2/f/sessd/21a02Da.wav,disgust,21,female,french
OREAU2/f/sessc/24a01Ca.wav,anger,24,female,french
OREAU2/f/sessc/13a05Ca.wav,anger,13,female,french
OREAU2/f/sessc/42a04Ca.wav,anger,42,female,french
OREAU2/f/sessc/24a02Ca.wav,anger,24,female,french
OREAU2/f/sessc/37a10Ca.wav,anger,37,female,french
OREAU2/f/sessc/37a11Ca.wav,anger,37,female,french
OREAU2/f/sessc/21a01Ca.wav,anger,21,female,french
OREAU2/f/sessc/42a03Ca.wav,anger,42,female,french
OREAU2/f/sessc/21a11Ca.wav,anger,21,female,french
OREAU2/f/sesst/37a01Ta.wav,sadness,37,female,french
OREAU2/f/sesst/42a10Ta.wav,sadness,42,female,french
OREAU2/f/sesst/37a02Ta.wav,sadness,37,female,french
OREAU2/f/sesst/21a01Ta.wav,sadness,21,female,french
OREAU2/f/sesst/21a11Ta.wav,sadness,21,female,french
OREAU2/f/sesst/13a06Ta.wav,sadness,13,female,french
OREAU2/f/sesst/42a07Ta.wav,sadness,42,female,french
OREAU2/f/sesst/24a03Ta.wav,sadness,24,female,french
OREAU2/f/sesst/13a05Ta.wav,sadness,13,female,french
OREAU2/f/sessn/37a06Na.wav,neutral,37,female,french
OREAU2/f/sessn/42a11Na.wav,neutral,42,female,french
OREAU2/f/sessn/21a11Na.wav,neutral,21,female,french
OREAU2/f/sessn/42a01Na.wav,neutral,42,female,french
OREAU2/f/sessn/24a08Na.wav,neutral,24,female,french
OREAU2/f/sessn/21a01Na.wav,neutral,21,female,french
OREAU2/f/sessn/24a07Na.wav,neutral,24,female,french
OREAU2/f/sessn/13a06Na.wav,neutral,13,female,french
OREAU2/f/sessn/13a05Na.wav,neutral,13,female,french
OREAU2/f/sessn/37a05Na.wav,neutral,37,female,french
OREAU2/f/sessp/37a07Pa.wav,fear,37,female,french
OREAU2/f/sessp/21a12Pa.wav,fear,21,female,french
OREAU2/f/sessp/13a06Pa.wav,fear,13,female,french
OREAU2/f/sessp/24a03Pa.wav,fear,24,female,french
OREAU2/f/sessp/42a03Pa.wav,fear,42,female,french
OREAU2/f/sessp/24a02Pa.wav,fear,24,female,french
OREAU2/m/sessj/20a01Ja.wav,happiness,20,male,french
OREAU2/m/sessj/41a08Ja.wav,happiness,41,male,french
OREAU2/m/sessj/25a13Ja.wav,happiness,25,male,french
OREAU2/m/sessj/38a03Ja.wav,happiness,38,male,french
OREAU2/m/sessj/29a13Ja.wav,happiness,29,male,french
OREAU2/m/sessj/27a10Ja.wav,happiness,27,male,french
OREAU2/m/sessj/18a07Ja.wav,happiness,18,male,french
OREAU2/m/sessj/26a08Ja.wav,happiness,26,male,french
OREAU2/m/sessj/29a03Ja.wav,happiness,29,male,french
OREAU2/m/sessj/14a03Ja.wav,happiness,14,male,french
OREAU2/m/sessj/33a02Ja.wav,happiness,33,male,french
OREAU2/m/sessj/36a02Ja.wav,happiness,36,male,french
OREAU2/m/sessj/12a07Ja.wav,happiness,12,male,french
OREAU2/m/sessj/39a06Ja.wav,happiness,39,male,french
OREAU2/m/sessj/36a01Ja.wav,happiness,36,male,french
OREAU2/m/sessj/38a04Ja.wav,happiness,38,male,french
OREAU2/m/sessj/32a12Ja.wav,happiness,32,male,french
OREAU2/m/sessj/30a04Ja.wav,happiness,30,male,french
OREAU2/m/sessj/28a12Ja.wav,happiness,28,male,french
OREAU2/m/sessj/31a06Ja.wav,happiness,31,male,french
