file,emotion,speaker,gender,language
ShEMO/female/F30A02.wav,anger,F30,female,persian
ShEMO/female/F22A07.wav,anger,F22,female,persian
ShEMO/female/F05N47.wav,neutral,F05,female,persian
ShEMO/female/F21A44.wav,anger,F21,female,persian
ShEMO/female/F23S01.wav,sadness,F23,female,persian
ShEMO/female/F21S29.wav,sadness,F21,female,persian
ShEMO/female/F28A27.wav,anger,F28,female,persian
ShEMO/female/F09S14.wav,sadness,F09,female,persian
ShEMO/female/F20W03.wav,surprise,F20,female,persian
ShEMO/female/F15A05.wav,anger,F15,female,persian
ShEMO/female/F16S04.wav,sadness,F16,female,persian
ShEMO/female/F09S07.wav,sadness,F09,female,persian
ShEMO/female/F21W05.wav,surprise,F21,female,persian
ShEMO/female/F01N05.wav,neutral,F01,female,persian
ShEMO/female/F09A05.wav,anger,F09,female,persian
ShEMO/female/F28A12.wav,anger,F28,female,persian
ShEMO/female/F21H09.wav,happiness,F21,female,persian
ShEMO/female/F08N01.wav,neutral,F08,female,persian
ShEMO/female/F03S17.wav,sadness,F03,female,persian
ShEMO/female/F23A19.wav,anger,F23,female,persian
ShEMO/female/F05N16.wav,neutral,F05,female,persian
ShEMO/female/F05A03.wav,anger,F05,female,persian
ShEMO/female/F29N07.wav,neutral,F29,female,persian
ShEMO/female/F18A01.wav,anger,F18,female,persian
ShEMO/female/F08W01.wav,surprise,F08,female,persian
ShEMO/female/F10A18.wav,anger,F10,female,persian
ShEMO/female/F21H07.wav,happiness,F21,female,persian
ShEMO/female/F12A08.wav,anger,F12,female,persian
ShEMO/female/F30A04.wav,anger,F30,female,persian
ShEMO/female/F20N04.wav,neutral,F20,female,persian
ShEMO/female/F31A07.wav,anger,F31,female,persian
ShEMO/female/F01A21.wav,anger,F01,female,persian
ShEMO/female/F26F02.wav,fear,F26,female,persian
ShEMO/female/F22S08.wav,sadness,F22,female,persian
ShEMO/female/F23A02.wav,anger,F23,female,persian
ShEMO/female/F10A27.wav,anger,F10,female,persian
ShEMO/female/F11S04.wav,sadness,F11,female,persian
ShEMO/female/F10A37.wav,anger,F10,female,persian
ShEMO/female/F30A07.wav,anger,F30,female,persian
ShEMO/female/F20N05.wav,neutral,F20,female,persian
ShEMO/female/F19N20.wav,neutral,F19,female,persian
ShEMO/female/F19N06.wav,neutral,F19,female,persian
ShEMO/female/F21A45.wav,anger,F21,female,persian
ShEMO/female/F09A02.wav,anger,F09,female,persian
ShEMO/female/F30A03.wav,anger,F30,female,persian
ShEMO/female/F01N03.wav,neutral,F01,female,persian
ShEMO/female/F19N26.wav,neutral,F19,female,persian
ShEMO/female/F28S08.wav,sadness,F28,female,persian
ShEMO/female/F09S02.wav,sadness,F09,female,persian
ShEMO/female/F13A01.wav,anger,F13,female,persian
ShEMO/female/F01S23.wav,sadness,F01,female,persian
ShEMO/female/F13A07.wav,anger,F13,female,persian
ShEMO/female/F21A47.wav,anger,F21,female,persian
ShEMO/female/F31A09.wav,anger,F31,female,persian
ShEMO/female/F14N07.wav,neutral,F14,female,persian
ShEMO/female/F04A16.wav,anger,F04,female,persian
ShEMO/female/F02S13.wav,sadness,F02,female,persian
ShEMO/female/F29N05.wav,neutral,F29,female,persian
ShEMO/female/F23S03.wav,sadness,F23,female,persian
ShEMO/female/F29N06.wav,neutral,F29,female,persian
ShEMO/female/F12A01.wav,anger,F12,female,persian
ShEMO/female/F23A03.wav,anger,F23,female,persian
ShEMO/female/F13A23.wav,anger,F13,female,persian
ShEMO/female/F02S07.wav,sadness,F02,female,persian
ShEMO/female/F20H03.wav,happiness,F20,female,persian
ShEMO/female/F31A08.wav,anger,F31,female,persian
ShEMO/female/F10A34.wav,anger,F10,female,persian
ShEMO/female/F04A12.wav,anger,F04,female,persian
ShEMO/female/F30W01.wav,surprise,F30,female,persian
ShEMO/female/F10A44.wav,anger,F10,female,persian
ShEMO/female/F21A41.wav,anger,F21,female,persian
ShEMO/female/F04N02.wav,neutral,F04,female,persian
ShEMO/female/F03W01.wav,surprise,F03,female,persian
ShEMO/female/F02A03.wav,anger,F02,female,persian
ShEMO/female/F29W01.wav,surprise,F29,female,persian
ShEMO/female/F29N08.wav,neutral,F29,female,persian
ShEMO/female/F21H11.wav,happiness,F21,female,persian
ShEMO/female/F05S02.wav,sadness,F05,female,persian
ShEMO/female/F13A09.wav,anger,F13,female,persian
ShEMO/female/F21S08.wav,sadness,F21,female,persian
ShEMO/female/F13A18.wav,anger,F13,female,persian
ShEMO/female/F02S14.wav,sadness,F02,female,persian
ShEMO/female/F19N38.wav,neutral,F19,female,persian
ShEMO/female/F25N02.wav,neutral,F25,female,persian
ShEMO/female/F14N01.wav,neutral,F14,female,persian
ShEMO/female/F20N16.wav,neutral,F20,female,persian
ShEMO/female/F17H01.wav,happiness,F17,female,persian
ShEMO/female/F20S02.wav,sadness,F20,female,persian
ShEMO/female/F01W01.wav,surprise,F01,female,persian
ShEMO/female/F12F01.wav,fear,F12,female,persian
ShEMO/female/F02W04.wav,surprise,F02,female,persian
ShEMO/female/F09A10.wav,anger,F09,female,persian
ShEMO/female/F01S07.wav,sadness,F01,female,persian
ShEMO/female/F12A11.wav,anger,F12,female,persian
ShEMO/female/F21W19.wav,surprise,F21,female,persian
ShEMO/female/F05N25.wav,neutral,F05,female,persian
ShEMO/female/F02S05.wav,sadness,F02,female,persian
ShEMO/female/F06S05.wav,sadness,F06,female,persian
ShEMO/female/F17S01.wav,sadness,F17,female,persian
ShEMO/female/F20N01.wav,neutral,F20,female,persian
ShEMO/female/F23N01.wav,neutral,F23,female,persian
ShEMO/female/F19N32.wav,neutral,F19,female,persian
ShEMO/female/F28A20.wav,anger,F28,female,persian
ShEMO/female/F05N31.wav,neutral,F05,female,persian
ShEMO/female/F05N20.wav,neutral,F05,female,persian
ShEMO/female/F21S19.wav,sadness,F21,female,persian
ShEMO/female/F19N08.wav,neutral,F19,female,persian
ShEMO/female/F03S03.wav,sadness,F03,female,persian
ShEMO/female/F19N07.wav,neutral,F19,female,persian
ShEMO/female/F05N10.wav,neutral,F05,female,persian
ShEMO/female/F10W01.wav,surprise,F10,female,persian
ShEMO/female/F28A26.wav,anger,F28,female,persian
ShEMO/female/F28S06.wav,sadness,F28,female,persian
ShEMO/female/F09N01.wav,neutral,F09,female,persian
ShEMO/female/F09F01.wav,fear,F09,female,persian
ShEMO/female/F28A09.wav,anger,F28,female,persian
ShEMO/female/F21S05.wav,sadness,F21,female,persian
ShEMO/female/F22A06.wav,anger,F22,female,persian
ShEMO/female/F10A57.wav,anger,F10,female,persian
ShEMO/female/F03F03.wav,fear,F03,female,persian
ShEMO/female/F21A20.wav,anger,F21,female,persian
ShEMO/female/F05N55.wav,neutral,F05,female,persian
ShEMO/female/F01A01.wav,anger,F01,female,persian
ShEMO/female/F30S07.wav,sadness,F30,female,persian
ShEMO/female/F30S08.wav,sadness,F30,female,persian
ShEMO/female/F23N08.wav,neutral,F23,female,persian
ShEMO/female/F30H01.wav,happiness,F30,female,persian
