file,emotion
thorsten-emotional_v02/neutral/f64b86e0c3ff6561d5c5968bd8135a34.wav,neutral
thorsten-emotional_v02/drunk/106d5a7b05735126bbe67be9fa2ca981.wav,drunk
thorsten-emotional_v02/sleepy/91672c17b212888eb37fdeb75071cd3a.wav,sleepy
thorsten-emotional_v02/neutral/369233d876453eb5615708b69f54e84b.wav,neutral
thorsten-emotional_v02/neutral/856d844e78c54f7f4e711a5eb300eb1b.wav,neutral
thorsten-emotional_v02/drunk/d9224fa20bd51ebd67c586e02cd41872.wav,drunk
thorsten-emotional_v02/amused/b85796d30b6476b19dd0e5240593c366.wav,amused
thorsten-emotional_v02/surprised/a2b097e9376cb5f49536614fefd752eb.wav,surprised
thorsten-emotional_v02/sleepy/28fc28adf5db817b9e17f0c6992993b3.wav,sleepy
thorsten-emotional_v02/sleepy/1f1ca7913abac16ba5bcddcd86bb15ae.wav,sleepy
thorsten-emotional_v02/amused/11c308da3284dbdcc2fb9da447a9c16a.wav,amused
thorsten-emotional_v02/amused/ca4109dcd1edffdfd5be1c567b6ac417.wav,amused
thorsten-emotional_v02/sleepy/a13b24594ce9fa72f9ea8ac72fb8ea99.wav,sleepy
thorsten-emotional_v02/surprised/8cb5ca30892a24d625ad6503f856c4f5.wav,surprised
thorsten-emotional_v02/drunk/856d844e78c54f7f4e711a5eb300eb1b.wav,drunk
thorsten-emotional_v02/neutral/beecf95389ece96bbbaac05432f360a5.wav,neutral
thorsten-emotional_v02/amused/37773d61d5c91c12d49e55e2b041c0cd.wav,amused
thorsten-emotional_v02/sleepy/2e549180a9d7591a11d08112bf67f422.wav,sleepy
thorsten-emotional_v02/whisper/848137d02e97288ecc69087b1b80ca50.wav,whisper
thorsten-emotional_v02/neutral/89cdaffc8abd64800146baf3ed70b7cd.wav,neutral
thorsten-emotional_v02/angry/ea8ffe25c6c16e96bfb2615170db2064.wav,angry
thorsten-emotional_v02/angry/645607a5efbc0dbc96f62a9000feb393.wav,angry
thorsten-emotional_v02/sleepy/4350c81daac6f3fd87c0e3e9baf96179.wav,sleepy
thorsten-emotional_v02/surprised/b8bd8e9f93b68b30a0061317fa0e2109.wav,surprised
thorsten-emotional_v02/disgusted/b53a7acf0d73c5ad24da7af7782263b2.wav,disgusted
thorsten-emotional_v02/angry/c9740def0a1f37c5590baac7e1181db9.wav,angry
thorsten-emotional_v02/drunk/f2bd23a052a4035706d6e1ab72e418ea.wav,drunk
thorsten-emotional_v02/drunk/aff5db4056eb7a6273f41537f3b9798c.wav,drunk
thorsten-emotional_v02/neutral/f96235b52798540316d95e3d09324dba.wav,neutral
thorsten-emotional_v02/sleepy/8fcd69c42d6773cf7992127362a63d68.wav,sleepy
thorsten-emotional_v02/disgusted/bdcb80ac3fb3cea03000ba0c0851a8a4.wav,disgusted
thorsten-emotional_v02/surprised/d9224fa20bd51ebd67c586e02cd41872.wav,surprised
thorsten-emotional_v02/surprised/760ed4feb3b965abd72f36976efd17fb.wav,surprised
thorsten-emotional_v02/drunk/2cc90eb146f6d574cb75553bb7956a42.wav,drunk
thorsten-emotional_v02/angry/b8bd8e9f93b68b30a0061317fa0e2109.wav,angry
thorsten-emotional_v02/sleepy/67c0a47e5fa153544fd6181cda833d48.wav,sleepy
thorsten-emotional_v02/whisper/c9740def0a1f37c5590baac7e1181db9.wav,whisper
