file,emotion,speaker,gender,language
URDU/Happy/SF5_F4_H024.wav,happiness,SF5,female,urdu
URDU/Neutral/SM5_F34_N062.wav,neutral,SM5,male,urdu
URDU/Angry/SM4_F46_A098.wav,anger,SM4,male,urdu
URDU/Sad/SM26_F2_S092.wav,sadness,SM26,male,urdu
URDU/Neutral/SM20_F8_N012.wav,neutral,SM20,male,urdu
URDU/Angry/SM2_F11_A033.wav,anger,SM2,male,urdu
URDU/Angry/SM4_F15_A067.wav,anger,SM4,male,urdu
URDU/Sad/SM6_F1_S097.wav,sadness,SM6,male,urdu
URDU/Angry/SM4_F2_A054.wav,anger,SM4,male,urdu
URDU/Neutral/SM5_F4_N032.wav,neutral,SM5,male,urdu
URDU/Neutral/SM5_F8_N036.wav,neutral,SM5,male,urdu
URDU/Happy/SM5_F5_H059.wav,happiness,SM5,male,urdu
URDU/Sad/SM24_F34_S046.wav,sadness,SM24,male,urdu
URDU/Happy/SF1_F5_H05.wav,happiness,SF1,female,urdu
URDU/Neutral/SM5_F52_N080.wav,neutral,SM5,male,urdu
URDU/Angry/SM4_F34_A086.wav,anger,SM4,male,urdu
URDU/Neutral/SM5_F9_N037.wav,neutral,SM5,male,urdu
URDU/Sad/SM24_F35_S047.wav,sadness,SM24,male,urdu
URDU/Happy/SF1_F1_H01.wav,happiness,SF1,female,urdu
URDU/Sad/SM24_F36_S048.wav,sadness,SM24,male,urdu
URDU/Angry/SM2_F27_A049.wav,anger,SM2,male,urdu
URDU/Neutral/SM5_F67_N095.wav,neutral,SM5,male,urdu
URDU/Angry/SM2_F14_A036.wav,anger,SM2,male,urdu
URDU/Sad/SM25_F18_S068.wav,sadness,SM25,male,urdu
URDU/Neutral/SF9_F3_N03.wav,neutral,SF9,female,urdu
URDU/Happy/SF5_F1_H021.wav,happiness,SF5,female,urdu
URDU/Neutral/SM5_F6_N034.wav,neutral,SM5,male,urdu
URDU/Angry/SM4_F6_A058.wav,anger,SM4,male,urdu
URDU/Happy/SM7_F17_H089.wav,happiness,SM7,male,urdu
URDU/Sad/SM25_F35_S085.wav,sadness,SM25,male,urdu
URDU/Sad/SM25_F32_S082.wav,sadness,SM25,male,urdu
URDU/Happy/SF8_F2_H046.wav,happiness,SF8,female,urdu
URDU/Happy/SM7_F18_H090.wav,happiness,SM7,male,urdu
URDU/Happy/SF2_F2_H014.wav,happiness,SF2,female,urdu
URDU/Happy/SM5_F1_H055.wav,happiness,SM5,male,urdu
URDU/Neutral/SM5_F61_N089.wav,neutral,SM5,male,urdu
URDU/Angry/SM1_F17_A017.wav,anger,SM1,male,urdu
URDU/Happy/SM7_F22_H094.wav,happiness,SM7,male,urdu
URDU/Happy/SF7_F6_H044.wav,happiness,SF7,female,urdu
URDU/Happy/SM7_F1_H073.wav,happiness,SM7,male,urdu
URDU/Happy/SM5_F8_H062.wav,happiness,SM5,male,urdu
URDU/Neutral/SM20_F6_N010.wav,neutral,SM20,male,urdu
URDU/Angry/SM4_F8_A060.wav,anger,SM4,male,urdu
URDU/Sad/SM25_F27_S077.wav,sadness,SM25,male,urdu
URDU/Neutral/SM21_F2_N016.wav,neutral,SM21,male,urdu
URDU/Angry/SM1_F12_A012.wav,anger,SM1,male,urdu
URDU/Angry/SM4_F13_A065.wav,anger,SM4,male,urdu
URDU/Angry/SM1_F11_A011.wav,anger,SM1,male,urdu
URDU/Neutral/SM5_F13_N041.wav,neutral,SM5,male,urdu
URDU/Neutral/SM5_F50_N078.wav,neutral,SM5,male,urdu
URDU/Happy/SF6_F1_H025.wav,happiness,SF6,female,urdu
URDU/Happy/SM5_F7_H061.wav,happiness,SM5,male,urdu
URDU/Sad/SM25_F7_S057.wav,sadness,SM25,male,urdu
URDU/Sad/SM25_F11_S061.wav,sadness,SM25,male,urdu
URDU/Happy/SM19_F2_H052.wav,happiness,SM19,male,urdu
URDU/Neutral/SM3_F1_N021.wav,neutral,SM3,male,urdu
URDU/Angry/SM1_F2_A02.wav,anger,SM1,male,urdu
URDU/Neutral/SM5_F21_N049.wav,neutral,SM5,male,urdu
URDU/Sad/SM25_F19_S069.wav,sadness,SM25,male,urdu
URDU/Neutral/SM3_F2_N022.wav,neutral,SM3,male,urdu
URDU/Angry/SM2_F21_A043.wav,anger,SM2,male,urdu
URDU/Happy/SM6_F4_H066.wav,happiness,SM6,male,urdu
URDU/Neutral/SF9_F2_N02.wav,neutral,SF9,female,urdu
URDU/Sad/SM24_F12_S024.wav,sadness,SM24,male,urdu
URDU/Neutral/SM20_F2_N06.wav,neutral,SM20,male,urdu
URDU/Neutral/SM5_F22_N050.wav,neutral,SM5,male,urdu
URDU/Happy/SM3_F2_H054.wav,happiness,SM3,male,urdu
URDU/Sad/SM25_F4_S054.wav,sadness,SM25,male,urdu
URDU/Angry/SM2_F18_A040.wav,anger,SM2,male,urdu
URDU/Angry/SM4_F48_A0100.wav,anger,SM4,male,urdu
URDU/Angry/SM2_F15_A037.wav,anger,SM2,male,urdu
URDU/Sad/SM24_F13_S025.wav,sadness,SM24,male,urdu
URDU/Angry/SM1_F21_A021.wav,anger,SM1,male,urdu
URDU/Sad/SM24_F5_S017.wav,sadness,SM24,male,urdu
URDU/Happy/SF1_F7_H07.wav,happiness,SF1,female,urdu
URDU/Sad/SM24_F33_S045.wav,sadness,SM24,male,urdu
URDU/Neutral/SM5_F72_N0100.wav,neutral,SM5,male,urdu
URDU/Happy/SM6_F10_H072.wav,happiness,SM6,male,urdu
URDU/Neutral/SM20_F4_N08.wav,neutral,SM20,male,urdu
URDU/Sad/SM25_F36_S086.wav,sadness,SM25,male,urdu
URDU/Neutral/SM20_F1_N05.wav,neutral,SM20,male,urdu
URDU/Neutral/SM5_F25_N053.wav,neutral,SM5,male,urdu
URDU/Angry/SM4_F43_A095.wav,anger,SM4,male,urdu
URDU/Sad/SM25_F16_S066.wav,sadness,SM25,male,urdu
URDU/Neutral/SM3_F7_N027.wav,neutral,SM3,male,urdu
URDU/Sad/SM25_F12_S062.wav,sadness,SM25,male,urdu
URDU/Angry/SM4_F39_A091.wav,anger,SM4,male,urdu
URDU/Angry/SM4_F45_A097.wav,anger,SM4,male,urdu
URDU/Neutral/SM5_F36_N064.wav,neutral,SM5,male,urdu
URDU/Angry/SM4_F47_A099.wav,anger,SM4,male,urdu
URDU/Happy/SF5_F2_H022.wav,happiness,SF5,female,urdu
URDU/Angry/SM4_F5_A057.wav,anger,SM4,male,urdu
URDU/Neutral/SM3_F3_N023.wav,neutral,SM3,male,urdu
URDU/Neutral/SM5_F55_N083.wav,neutral,SM5,male,urdu
URDU/Angry/SM1_F14_A014.wav,anger,SM1,male,urdu
URDU/Angry/SM1_F6_A06.wav,anger,SM1,male,urdu
URDU/Sad/SM24_F18_S030.wav,sadness,SM24,male,urdu
URDU/Neutral/SM5_F63_N091.wav,neutral,SM5,male,urdu
URDU/Sad/SM24_F2_S014.wav,sadness,SM24,male,urdu
URDU/Angry/SM2_F16_A038.wav,anger,SM2,male,urdu
URDU/Happy/SF1_F6_H06.wav,happiness,SF1,female,urdu
URDU/Angry/SM4_F14_A066.wav,anger,SM4,male,urdu
URDU/Neutral/SM5_F30_N058.wav,neutral,SM5,male,urdu
URDU/Sad/SM24_F37_S049.wav,sadness,SM24,male,urdu
URDU/Sad/SM25_F6_S056.wav,sadness,SM25,male,urdu
URDU/Happy/SM7_F3_H075.wav,happiness,SM7,male,urdu
URDU/Sad/SM25_F14_S064.wav,sadness,SM25,male,urdu
URDU/Neutral/SM3_F6_N026.wav,neutral,SM3,male,urdu
URDU/Happy/SF4_F2_H018.wav,happiness,SF4,female,urdu
URDU/Neutral/SM5_F70_N098.wav,neutral,SM5,male,urdu
URDU/Happy/SM3_F1_H053.wav,happiness,SM3,male,urdu
URDU/Happy/SM6_F2_H064.wav,happiness,SM6,male,urdu
URDU/Happy/SM7_F5_H077.wav,happiness,SM7,male,urdu
URDU/Angry/SM4_F17_A069.wav,anger,SM4,male,urdu
URDU/Sad/SM25_F1_S051.wav,sadness,SM25,male,urdu
URDU/Angry/SM4_F30_A082.wav,anger,SM4,male,urdu
URDU/Neutral/SM3_F8_N028.wav,neutral,SM3,male,urdu
URDU/Angry/SM2_F24_A046.wav,anger,SM2,male,urdu
URDU/Angry/SM2_F4_A026.wav,anger,SM2,male,urdu
URDU/Neutral/SM5_F5_N033.wav,neutral,SM5,male,urdu
URDU/Sad/SM25_F40_S090.wav,sadness,SM25,male,urdu
URDU/Angry/SM2_F10_A032.wav,anger,SM2,male,urdu
URDU/Sad/SM24_F27_S039.wav,sadness,SM24,male,urdu
URDU/Angry/SM3_F1_A051.wav,anger,SM3,male,urdu
URDU/Neutral/SM20_F5_N09.wav,neutral,SM20,male,urdu
URDU/Happy/SM7_F25_H097.wav,happiness,SM7,male,urdu
URDU/Neutral/SM5_F10_N038.wav,neutral,SM5,male,urdu
URDU/Sad/SM27_F2_S094.wav,sadness,SM27,male,urdu
URDU/Happy/SM5_F3_H057.wav,happiness,SM5,male,urdu
URDU/Happy/SM18_F2_H050.wav,happiness,SM18,male,urdu
URDU/Neutral/SM5_F45_N073.wav,neutral,SM5,male,urdu
